"","ZEB","miR200","OVOL2","miR145","miR34","GRHL2","Ecad","NRF2","OCT4","KEAP1","SNAIL"
"OVOL2",-0.0813289887834559,-0.0340490388226438,-0.0392840603180676,0.08668471562426,0.0820967027298546,0.0798613714334857,0.0798613714334857,-0.0609189288260934,-0.0892961092293622,0.0318473305092054,-0.0614324639633419
"ZEB",-0.0787063402012201,-0.0357149746311244,-0.03109110618837,-0.0301058724762224,-0.0229823764325637,-0.0225055976535965,-0.0225055976535965,0.0240036746390065,0.0274400388825537,0.032985493679961,0.0365989091713071
"NRF2",-0.0353520374657857,0.0915274021890612,0.0421459537556917,0.0381122062557658,0.0966178163093289,0.0379872890871632,0.0379872890871632,0.031571477167993,-0.0378245744245098,-0.0957191950997833,-0.0714131056659618
"miR34",-0.0353520374657857,0.0915274021890612,0.0421459537556917,0.0381122062557658,0.0966178163093289,0.0379872890871632,0.0379872890871632,0.031571477167993,-0.0378245744245098,-0.0957191950997833,-0.0714131056659618
"Ecad",-0.016837096752603,0.0296969320515663,0.0233530058661726,0.0230365679757481,0.0179419002811862,0.0151721643904802,0.0151721643904802,-0.128150846893076,-0.0270365679757481,-0.0341542475892142,0.0607712710250738
"miR145",-0.0158900419936338,0.0311932115119584,0.0213233122077536,0.0277500284216954,0.0141613136092776,0.0137879115198278,0.0137879115198278,-0.0174334841604974,-0.131269920532282,-0.0340384347076196,-0.0350101559537621
"OCT4",0.0021373272101129,-0.14305677497082,-0.00145329059505431,-0.142742042797611,-0.00692447411894835,-0.00252960965347212,-0.00252960965347212,-0.123508637191588,0.141763288918403,0.141978686392731,0.0268301215379501
"miR200",0.0191840601944602,-0.0211177237292372,-0.0273979169334003,-0.024348570176559,-0.00606316209510921,-0.0170651191258237,-0.0170651191258237,0.130544378494899,0.0273431396102285,-0.0770922887145265,-0.0296305149813004
"GRHL2",0.0225055976535965,-0.032985493679961,-0.0281052040816061,-0.0274400388825537,-0.021062866046807,-0.020127798125702,-0.020127798125702,0.0275041476759034,0.0314426852603241,0.0361921930263662,0.0384245864386804
"SNAIL",0.0378407946203237,-0.0922891592478579,-0.0405545169317691,-0.0361173972086765,-0.0971130946557596,-0.0353520374657857,-0.0353520374657857,-0.0342182365843486,0.0381122062557658,0.0915274021890612,-0.0357297514768954
"KEAP1",0.0379872890871632,-0.0957191950997833,-0.0428764139456113,-0.0378245744245098,-0.0994919913146514,-0.0363705384908208,-0.0363705384908208,-0.139591117102527,0.0338368443631601,0.0854881719974731,0.0580437606288247
