"","NRF2","miR200","ZEB","miR145","GRHL2","miR34","SNAIL","Ecad","OVOL2","OCT4","KEAP1"
"ZEB",-0.130345389617039,-0.119312746728782,-0.0664166879252366,-0.0409920035284958,-0.0329906904805579,-0.0271448920826275,-0.0242597990956387,0.0329906904805579,0.0354518788411294,0.0411273778906743,0.120003107250387
"miR145",0.189378347939413,0.147098029592563,-0.0460297010182098,0.0575194363376737,0.0458832604683491,0.0425760259238054,0.0187086398275097,-0.0458832604683491,-0.0394607329733108,-0.158719706061207,-0.146555684995149
"OVOL2",-0.00627389802653048,-0.0422597440550364,-0.0395901296525851,0.0395173861551254,0.039180147477897,0.0343497194445189,0.0628724671709945,-0.039180147477897,-0.0736780756393677,-0.0414737767437662,0.0423605451585432
"KEAP1",-0.107009095301472,-0.0281926974923197,-0.0347663904733265,0.0326756862032936,0.0319304509026931,-0.0431012228056563,0.0258978905907761,-0.0319304509026931,-0.0374726429959351,-0.0374302874302874,0.0259767616130175
"miR34",-0.00837297964407944,-0.0280014929034095,-0.0339208112926353,0.0356958204314815,0.0347663904733265,-0.0415044589138104,0.0223867494699119,-0.0347663904733265,-0.0409058058885575,-0.0326756862032936,0.0281926974923197
"SNAIL",-0.00735499525317343,-0.0274221926251629,-0.0337930516851128,0.0344722386739731,0.0339208112926353,-0.0414978552025247,-0.0754640722747152,-0.0339208112926353,-0.0392577343022178,-0.0356958204314815,0.0280014929034095
"GRHL2",0.130629211755166,0.120003107250387,-0.0329906904805579,0.0411273778906743,0.0334800681073643,0.0279423698274346,0.0248340040426352,-0.0334800681073643,-0.0353805973584746,-0.0418551317775417,-0.118961440583721
"Ecad",0.0234650451485579,0.094207371900221,-0.0306544555442562,0.0369573167634075,0.0305503972716236,0.0332141763548705,0.0647545953674666,-0.0305503972716236,-0.0337079192958636,-0.0383994936341558,-0.0937456913831389
"miR200",0.23069464541754,0.121987059721409,-0.0293354708386064,0.0370456739696787,0.0294486966972358,0.0292477959252415,-0.0316885726447569,-0.0294486966972358,-0.0340141844545234,-0.0380231759091667,-0.22138401578535
"NRF2",0.00837297964407944,0.0280014929034095,0.0339208112926353,-0.0356958204314815,-0.0347663904733265,0.0415044589138104,-0.0223867494699119,0.0347663904733265,0.0409058058885575,0.0326756862032936,-0.0281926974923197
"OCT4",-0.263219666335486,-0.234843884597529,0.0389966315160862,-0.150213771848412,-0.0398532482801563,-0.0363946066694082,0.0215971967788659,0.0398532482801563,0.038814896892217,0.146943301569109,0.234173721427365
