"","NRF2","ZEB","OVOL2","SNAIL","miR200","miR145","GRHL2","Ecad","miR34","KEAP1","OCT4"
"ZEB",-0.125134211681403,-0.0683212079598683,-0.0308146985817507,-0.0306216462511609,-0.0290716603951019,-0.0283117334074067,-0.0243164030454528,-0.0243164030454528,-0.021845278647106,0.0379632482243016,0.0388917604822791
"miR34",-0.00741856737965057,-0.0399901521201851,0.0336294390239512,0.0293517186001991,-0.0451600488699544,0.0289374123429271,0.0290140417844163,0.0290140417844163,-0.0446308649312768,0.031908100053952,-0.044709224423464
"OVOL2",-0.0104174355597964,-0.0355375670651042,-0.0465528675988033,0.057676616487689,-0.0512769717257505,0.0489103562458731,0.0480034018838802,0.0480034018838802,0.0408756682085229,0.0662645042208431,-0.0311132348117613
"SNAIL",-0.0104385877393384,-0.0316397841725154,0.0464572127114406,-0.0792449944212927,-0.0351203645201847,0.0408543570963568,0.0399901521201851,0.0399901521201851,-0.038007342511677,0.0451600488699544,-0.0289374123429271
"KEAP1",-0.111401109660065,-0.0290140417844163,0.0505761154300871,0.0180755538466542,-0.031908100053952,0.044709224423464,0.0435117889352247,0.0435117889352247,-0.0359231791744107,0.0493055540850694,-0.0240037029510714
"GRHL2",0.122437901369199,-0.0243164030454528,0.042164294653349,0.0230097499025155,0.0379632482243016,0.0388917604822791,0.0340636538946669,0.0340636538946669,0.027733631762833,-0.0263006665249552,-0.0250975163539298
"miR200",0.223048347192356,-0.023238589790458,0.0424531564278767,-0.0347809113623735,0.0391244014206607,0.0382621100278092,0.0335744931710586,0.0335744931710586,0.0296567453571626,-0.126747642542514,-0.0235995809354896
"Ecad",0.219820368278853,-0.0214837399732327,0.0347521704003985,-0.0480507680168727,0.0892503225041552,0.0329038222848854,0.0269042299930983,0.0269042299930983,0.109511233309803,-0.0827616126913457,-0.0252303528971303
"OCT4",-0.122390741016725,-0.00184639170042874,0.00162738534180319,0.0226571534429521,-0.13942931179322,-0.137055755889921,0.00273503152109962,0.00273503152109962,-0.00189484500960386,0.140507400371309,0.138368718410809
"miR145",-0.0806380842686481,0.0107963446010633,-0.0305116982216519,-0.0220916730628999,0.0845698827252431,0.0942998487464622,-0.0185765892984983,-0.0185765892984983,-0.0170007219613869,-0.0938398034594942,-0.205237138024952
"NRF2",0.00741856737965057,0.0399901521201851,-0.0336294390239512,-0.0293517186001991,0.0451600488699544,-0.0289374123429271,-0.0290140417844163,-0.0290140417844163,0.0446308649312768,-0.031908100053952,0.044709224423464
