"","ZEB","miR34","OVOL2","GRHL2","Ecad","miR200","miR145","OCT4","KEAP1","SNAIL","NRF2"
"OCT4",-0.0488632401340362,-0.0126449950187429,-0.00475189283208488,-0.0184892536614966,-0.0184892536614966,0.0183432601595801,0.00450908713304594,-0.0627807510146406,-0.0803770596933796,-0.0531660899048245,-0.012796132637854
"ZEB",-0.0198612330113831,-0.00914028512101155,-0.00543268925042264,-0.00248398241457483,-0.00248398241457483,0.0106925196731275,0.0176806312417908,0.048444537976162,0.0599351970233696,0.0709476238275499,0.0952642283122289
"SNAIL",-0.0106875044521358,0.0944700051795892,0.0762420070572963,0.072063219905938,0.072063219905938,-0.0124885646331743,0.0584698336903631,-0.0065825515249942,0.0680056015350581,-0.0609840901056246,-0.00967585982835062
"KEAP1",-0.00866120036731224,0.0961118028113102,0.0786117643754777,0.0744709008708903,0.0744709008708903,-0.0105412685449125,0.0605135198854928,-0.00483867325972589,0.0698057664232718,0.0403617961063829,-0.107281884133723
"OVOL2",-0.00710089200392243,0.072935414521092,-0.00886541302586914,0.08933499776744,0.08933499776744,-0.0214675872826422,0.0723350785628864,-0.00282719267130667,0.0958853282768594,-0.015096686523778,-0.0096850275733721
"miR200",-0.0039558041176847,0.0463207718362621,0.0873859761327963,0.0838016012816465,0.0838016012816465,0.0611899477088299,0.0492625987959663,0.0178126533374705,-0.0892554210504591,-0.00240748856109515,0.0846284992328578
"Ecad",-0.00373218944111933,0.14693945436106,0.0857835240086677,0.0817380545437586,0.0817380545437586,0.0653660820393225,0.0493650415655,0.0161587679583095,0.00485132751326713,0.065040628395449,-0.113609553455151
"GRHL2",-0.00248398241457483,0.0613379854177475,0.0872321506792204,0.0831391726961109,0.0831391726961109,0.0599351970233696,0.048444537976162,0.0192034937803713,0.0126546722576762,-0.0079470348993991,-0.0148952595326641
"miR145",0.029465020184474,0.0186774862565106,0.0458373589658669,0.0239952282920719,0.0239952282920719,-0.0688155413273987,-0.0884654423652969,0.0329833115493832,0.116700397397486,0.00243286590413246,-0.0648344502631951
"NRF2",0.072063219905938,-0.0534675618064134,-0.0117746569978298,-0.00866120036731224,-0.00866120036731224,0.0680056015350581,-0.0065825515249942,0.0605135198854928,-0.0105412685449125,0.0107523159800452,0.073130220194825
"miR34",0.072063219905938,-0.0534675618064134,-0.0117746569978298,-0.00866120036731224,-0.00866120036731224,0.0680056015350581,-0.0065825515249942,0.0605135198854928,-0.0105412685449125,0.0107523159800452,0.073130220194825
