"","SNAIL","KEAP1","miR145","GRHL2","Ecad","miR200","OVOL2","ZEB","miR34","OCT4","NRF2"
"SNAIL",-0.00636190547523975,0.120061404679616,0.148026817153768,0.141556252441861,0.141556252441861,0.154650648852403,0.110347245808629,-0.110020070921011,-0.178388120343948,-0.111979357012871,-0.127254013825
"KEAP1",0.0918621222642434,0.115765823313441,0.148268906389668,0.142160231043357,0.142160231043357,0.15522834099378,0.112116945615015,-0.106247164518046,-0.177918403435645,-0.105324121113595,-0.222240102852631
"miR200",0.0948610409764635,0.143760129016626,0.111457334246476,0.109902272087067,0.109902272087067,0.101547053492552,0.0945707600228326,-0.0584168566559998,-0.114579964840499,-0.0524813838973682,-0.276815039985073
"Ecad",0.145127052729815,0.100371066822881,0.109978435116038,0.108356262007438,0.108356262007438,0.160095737350876,0.0944937170566823,-0.0544446169407461,-0.203706687423516,-0.0484818364765827,-0.278651101467779
"miR145",0.115768145131202,0.0351550340928792,0.104796041413888,0.103431974062015,0.103431974062015,0.100928918114573,0.0930104530699523,-0.0445959402389718,-0.112064621706149,-0.137513506012674,-0.225050298293476
"GRHL2",0.104353963527536,0.0347694225864759,0.101946864340818,0.100774116441579,0.100774116441579,0.0988829846779792,0.0914935073564291,-0.042952710488444,-0.108709411475095,-0.0364490145227565,-0.167828179030469
"OVOL2",0.049119870027393,-0.0800471388299277,0.0854013048738504,0.08476290273692,0.08476290273692,-0.0148394355034913,-0.0159017946685298,-0.0247034850304435,-0.0857493268886252,-0.0191856709860628,0.00344148867708826
"ZEB",-0.144489417002212,-0.0988829846779792,-0.0432048045678304,-0.042952710488444,-0.042952710488444,-0.0407073262785928,-0.0311339318772591,-0.00230364729127162,0.0541656429291007,0.101946864340818,0.185448803439173
"OCT4",-0.14369297144145,-0.203644282026517,-0.144992759893711,-0.0447651741689404,-0.0447651741689404,-0.139425167807403,-0.0302393292584109,0.106897909738551,0.0546082341224728,0.209327923417225,0.318492373737374
"NRF2",-0.113739232325013,-0.15522834099378,-0.111979357012871,-0.106247164518046,-0.106247164518046,-0.120061404679616,-0.0742425847676816,0.141556252441861,0.145706353190808,0.148268906389668,0.136042612399822
"miR34",-0.113739232325013,-0.15522834099378,-0.111979357012871,-0.106247164518046,-0.106247164518046,-0.120061404679616,-0.0742425847676816,0.141556252441861,0.145706353190808,0.148268906389668,0.136042612399822
