"","OVOL2","miR34","miR145","GRHL2","Ecad","miR200","ZEB","KEAP1","NRF2","OCT4","SNAIL"
"NRF2",0.306742509352625,0.431811689705576,0.279363988440211,0.268499386318367,0.268499386318367,0.32427330007811,-0.28316977462803,-0.329759400975301,-0.0282695098867484,-0.282192368114228,-0.60995769833539
"miR34",0.306742509352625,0.431811689705576,0.279363988440211,0.268499386318367,0.268499386318367,0.32427330007811,-0.28316977462803,-0.329759400975301,-0.0282695098867484,-0.282192368114228,-0.60995769833539
"OVOL2",0.293482169141987,0.135779347845115,0.141832930325922,0.134764978714758,0.134764978714758,-0.128388493400693,-0.117373416029078,0.146771431487594,-0.119297150790724,-0.119399077012124,-0.0824780503660298
"miR200",0.236394991942251,0.14281660530046,0.126586581006316,0.124665398784403,0.124665398784403,0.0867449155206181,-0.0949193482101858,-0.153060604235082,0.0423407191544497,-0.085019474722375,-0.195686586410862
"miR145",0.244290668107872,0.122399424295985,0.114387068373835,0.112190417787367,0.112190417787367,0.0745446930531395,-0.0773517385866489,-0.0360382266367857,-0.0504280956758394,-0.16711801914929,-0.151675674667657
"GRHL2",0.224147871539061,0.116346228787761,0.109704533387418,0.107862494226658,0.107862494226658,0.068886817485592,-0.0745099696138421,-0.032714431864677,-0.0517108930086029,-0.0655431043434221,-0.134100590759
"Ecad",0.162276900008344,0.026849965788828,0.0524407576480957,0.0487257457095249,0.0487257457095249,0.0187999663663076,-0.021926010585128,0.00790195590348173,-0.137858692505725,-0.0205768120698644,0.172600915681354
"ZEB",-0.20854514700239,-0.0854856946631316,-0.0752882051566569,-0.0745099696138421,-0.0745099696138421,-0.0390798627425596,0.00586908406277522,0.068886817485592,0.0929833622612046,0.109704533387418,0.156509306895631
"OCT4",-0.216453073447354,-0.0918834281674159,-0.175942373581225,-0.0756157038136806,-0.0756157038136806,-0.144366662315583,0.118438536253037,0.182507687956609,-0.00180095545620135,0.218744951762176,0.194939088462056
"KEAP1",-0.302907593355546,-0.432769748040684,-0.282192368114228,-0.271865408051736,-0.271865408051736,-0.329759400975301,0.268499386318367,0.312739127519384,-0.0880425468508403,0.257038993881099,0.592874646343493
"SNAIL",-0.318052471407334,-0.446953999683784,-0.295048081877363,-0.28316977462803,-0.28316977462803,-0.335270882525768,0.278529545682813,0.32427330007811,0.0199899035073795,0.279363988440211,0.511664398714657
