"","OVOL2","GRHL2","Ecad","miR34","ZEB","miR145","miR200","KEAP1","OCT4","SNAIL","NRF2"
"OVOL2",0.286751939761695,0.130142124897079,0.130142124897079,0.129926090538988,-0.100356028640395,0.112922415569298,-0.144994200069487,0.170698481463726,-0.0867136764501043,-0.0431638052002275,-0.115415598589736
"OCT4",0.143164576103342,0.00295947711228532,0.00295947711228532,0.00277048683148926,-0.0526832782491038,0.0235705819814911,0.0163848329612045,-0.0600619891383607,-0.0674712742708203,-0.0649970108704544,-0.0170770698791191
"GRHL2",0.20194436342203,0.0870251984142926,0.0870251984142926,0.0866794207987342,-0.030562535048526,0.05278507859396,0.0303629631889123,0.0180438995561857,-0.00362861150828354,-0.0148779474301909,-0.042252374427947
"miR200",0.197383684034165,0.0866740258494341,0.0866740258494341,0.086290238671977,-0.0289557964861948,0.0526073489627446,0.0350735201503583,-0.0855377682598634,-0.00235133655002161,-0.0141901598472113,0.0605815478192696
"Ecad",0.201881552192484,0.0870182603722904,0.0870182603722904,0.0864772996298441,-0.0279510008887978,0.0545810711735672,0.036039411405332,0.0146363209878519,-0.00315249974499581,0.086619343781754,-0.138012285041314
"SNAIL",0.106246469686421,0.0832331711132518,0.0832331711132518,-0.0158352686037206,-0.0215048391426876,0.0673976682968475,-0.0372287739471922,0.0904833467702548,-0.0135674866134956,-0.0126742944349306,-0.0230570613699456
"KEAP1",0.108457018785885,0.0880645952159062,0.0880645952159062,-0.0108098907113685,-0.0170070813012495,0.0714294233344928,-0.0331366781425154,0.0942870788968766,-0.00946623315044368,0.0926131461703711,-0.117827113339169
"ZEB",-0.173091203276299,-0.030562535048526,-0.030562535048526,-0.0275733377126808,-0.0167688881331223,-0.00679944910317589,0.0153222835510519,0.0303629631889123,0.05278507859396,0.079910338478483,0.100223046140341
"miR145",0.14659031956768,0.0285112028383754,0.0285112028383754,0.0291433181501084,0.00817924073477406,-0.0834036475303866,-0.0859960723597681,0.117310215038116,0.0150287318189907,-0.00118826344190631,-0.0841371092783338
"NRF2",-0.0718974862804068,-0.0170070813012495,-0.0170070813012495,0.0850487665895887,0.0832331711132518,-0.0135674866134956,0.0904833467702548,-0.0331366781425154,0.0714294233344928,-0.0111141589995406,0.0905494264870138
"miR34",-0.0718974862804068,-0.0170070813012495,-0.0170070813012495,0.0850487665895887,0.0832331711132518,-0.0135674866134956,0.0904833467702548,-0.0331366781425154,0.0714294233344928,-0.0111141589995406,0.0905494264870138
