"","OVOL2","GRHL2","Ecad","miR34","ZEB","miR145","miR200","KEAP1","OCT4","SNAIL","NRF2"
"OVOL2",0.289746803479672,0.133823259787607,0.133823259787607,0.133366223294543,-0.101303949033002,0.115978963225018,-0.128700183139032,0.160229707251717,-0.0874949504696964,-0.0431655898856192,-0.110215627229806
"GRHL2",0.207605991275065,0.0936813624368745,0.0936813624368745,0.0929407203856271,-0.0319564502369782,0.0581762939426143,0.057376490943282,0.00205978356652189,-0.00468638325786401,-0.0147719441909515,-0.03204881208698
"miR200",0.202724739806433,0.0930032037817443,0.0930032037817443,0.0921800288576638,-0.0301520688273042,0.0577646570205804,0.0598904087180024,-0.0993658562148915,-0.00331935058148033,-0.013971281684223,0.0700518488464913
"Ecad",0.206920348308907,0.0930226815449527,0.0930226815449527,0.0920636048299087,-0.0289700848180584,0.0594805722799545,0.0606246828184765,0.00104744007248293,-0.00399757908267562,0.0868800186204025,-0.12879398609422
"SNAIL",0.108650041768324,0.0866767201682698,0.0866767201682698,-0.0126295635310549,-0.0201446269548601,0.0702697356188945,-0.0255228679637768,0.0896609877466532,-0.012746561721972,-0.0112140676027703,-0.0180967407387661
"KEAP1",0.1104201925016,0.0908348428810502,0.0908348428810502,-0.00833167926763987,-0.0160667538272469,0.073772448586785,-0.0215186138681416,0.0935129561595136,-0.00904852220641694,0.0934077853211746,-0.113361493505919
"ZEB",-0.176067895282669,-0.0319564502369782,-0.0319564502369782,-0.0287159429375559,-0.00959112855677884,-0.00777537756231644,-0.000965087210221438,0.057376490943282,0.0581762939426143,0.0850310725772884,0.0971623409422307
"miR145",0.184689049193785,0.0603642523346889,0.0603642523346889,0.061465113494251,-0.00928484376555483,-0.0618061731684079,0.0295820777318572,0.0194041550591316,0.00575762293239983,-0.0114052977108652,-0.0256244854464566
"OCT4",0.00248327368430281,0.00369235966467771,0.00369235966467771,-0.000289403788288896,-0.00149077452337597,0.0752312752378088,-0.0710410368636779,0.0732263515489926,-0.0732498954335596,0.0220043019209171,-0.0827528605729425
"NRF2",-0.0718884174833381,-0.0160667538272469,-0.0160667538272469,0.0859769847817978,0.0866767201682698,-0.012746561721972,0.0896609877466532,-0.0215186138681416,0.073772448586785,-0.00880278869727186,0.0918666762664213
"miR34",-0.0718884174833381,-0.0160667538272469,-0.0160667538272469,0.0859769847817978,0.0866767201682698,-0.012746561721972,0.0896609877466532,-0.0215186138681416,0.073772448586785,-0.00880278869727186,0.0918666762664213
