"","miR145","GRHL2","Ecad","miR34","miR200","OVOL2","SNAIL","KEAP1","NRF2","ZEB","OCT4"
"miR145",0.676406138973558,0.665416861317215,0.665416861317215,0.608842545907895,0.35877143793731,0.351442182192253,-0.152502228257481,-0.332363427924794,-0.567511914289028,-0.700028793860084,-0.729838370935797
"GRHL2",0.65833285895699,0.646905709755524,0.646905709755524,0.591874163346558,0.347566354924017,0.339784590192247,-0.154587856106537,-0.323301649041664,-0.546889592595699,-0.680027939014548,-0.614667625744949
"miR200",0.618903611178574,0.607027137198438,0.607027137198438,0.533236890955851,0.313801582930856,0.320769019969814,-0.0654760676969757,-0.391622967060271,-0.612971368416708,-0.636190883356846,-0.579508731426828
"Ecad",0.5322251256238,0.518557699572617,0.518557699572617,0.374360516941701,0.248112714347121,0.274067403701005,-0.0115198329144384,-0.231399879628746,-0.536165272666785,-0.542178927460234,-0.50174893514761
"NRF2",0.350775918581307,0.342667258713758,0.342667258713758,0.318226635048084,0.236186363222902,0.21492545027335,-0.102359049498646,-0.227817485446759,-0.280982180706795,-0.363511195993127,-0.330162304007961
"miR34",0.350775918581307,0.342667258713758,0.342667258713758,0.318226635048084,0.236186363222902,0.21492545027335,-0.102359049498646,-0.227817485446759,-0.280982180706795,-0.363511195993127,-0.330162304007961
"KEAP1",0.330162304007961,0.322550640637956,0.322550640637956,0.301897062980807,0.227817485446759,0.206525158089274,-0.0948641136444937,-0.20966567026524,-0.158996365103958,-0.342667258713758,-0.299487457382194
"OVOL2",0.204871865016905,0.199849309450716,0.199849309450716,0.190877350749335,0.0311418011424118,0.0254598972321324,-0.100217670548222,-0.0206531810564656,-0.108621290668937,-0.206230771126295,-0.190504890958472
"SNAIL",-0.372570505158986,-0.363511195993127,-0.363511195993127,-0.336459481908019,-0.248506757329548,-0.22669981737988,0.00385504612738626,0.236186363222902,0.300391749760069,0.379271621177101,0.350775918581307
"ZEB",-0.69253050552577,-0.680027939014548,-0.680027939014548,-0.61930368856911,-0.36324648788234,-0.355339793740481,0.163878197684865,0.347566354924017,0.58056981965341,0.610863838001931,0.65833285895699
"OCT4",-0.706218320336774,-0.596540192038419,-0.596540192038419,-0.53676154516212,-0.413616506135336,-0.313993676586715,0.0920586490443378,0.396308813827643,0.602655584533863,0.638002044572244,0.663606718522498
