"","miR200","ZEB","OVOL2","GRHL2","Ecad","miR145","miR34","NRF2","OCT4","KEAP1","SNAIL"
"NRF2",-0.108370428258313,-0.107161367966034,0.0581188724564717,0.0752345967649836,0.0752345967649836,0.0811936485232032,0.16334138193946,-0.110239079727743,-0.114702756864526,0.077998314712203,0.109532502851635
"SNAIL",-0.0793461158923044,-0.0768516786773999,0.0907008512750706,0.107161367966034,0.107161367966034,0.113488791274408,0.188072280704566,-0.0775957135926903,-0.0811936485232032,0.108370428258313,0.0139572816126965
"miR200",0.0796812800349469,-0.0258165038348175,0.0891914362312396,0.0930780555682514,0.0930780555682514,0.0942597473688294,0.0620798531143463,0.078709635866264,-0.0227469467481933,-0.115251300136411,-0.0338417572011622
"ZEB",-0.0289565068999077,-0.0188617684781988,-0.0108879417155471,-0.0102959258144815,-0.0102959258144815,-0.0102670708742176,0.0129235200089086,0.0813022572751606,0.0852644675210988,0.0964903857032828,0.174723039311682
"miR145",0.0965539217420148,-0.0114713702563211,0.0878642217062993,0.0864253123414455,0.0864253123414455,0.0873171415397389,0.049816509164477,-0.0057269710418817,-0.107789157723151,-0.0247558408075133,-0.172485757307318
"OVOL2",-0.0100172694156075,-0.0109875142851257,-0.0120821759641936,0.085948892775916,0.085948892775916,0.0864113894038445,0.0657867342576594,-0.00714438528597564,-0.00704398442237423,0.0815701369417362,-0.103961960924142
"GRHL2",0.0964903857032828,-0.0102959258144815,0.0867631199192538,0.0845143609575525,0.0845143609575525,0.0852644675210988,0.0447267025430202,-0.00476488736030721,-0.00660088829516431,-0.0255345033503417,-0.163548127650905
"Ecad",0.145382331965606,-0.00351760872689292,0.0662938851235682,0.0585738947925442,0.0585738947925442,0.0611135998381574,0.0191876245502711,-0.0855808011540366,-0.00274625289938192,-0.0927087820621396,-0.22220582481756
"KEAP1",0.077998314712203,0.0752345967649836,-0.0921583173067274,-0.108391236044072,-0.108391236044072,-0.114702756864526,-0.18882573365332,-0.0242944718270853,0.0789665605455079,-0.109728630600935,-0.114394082865139
"OCT4",-0.120726893601833,0.0899508365358381,-0.0120417069825985,-0.0149768552693262,-0.0149768552693262,-0.115234930910456,0.00159727505738653,-0.00957913065077,0.194323018759585,0.191851602226541,0.0946132807786579
"miR34",0.108370428258313,0.107161367966034,-0.0581188724564717,-0.0752345967649836,-0.0752345967649836,-0.0811936485232032,-0.16334138193946,0.110239079727743,0.114702756864526,-0.077998314712203,-0.109532502851635
