"","OVOL2","SNAIL","ZEB","OCT4","GRHL2","Ecad","KEAP1","miR200","miR145","miR34","NRF2"
"OVOL2",0.260396931264789,0.11879320955012,-0.0961847703939155,0.102091253274053,0.0972602308811406,0.0972602308811406,0.173951102675933,-0.173287937521283,-0.104409619213896,-0.107802287020663,-0.12392244328684
"ZEB",-0.154055798424022,-0.0958406064053221,-0.0604520607911273,-0.0456834013156933,-0.0387061673948811,-0.0387061673948811,-0.0107225698081368,0.0112723013346007,0.0435798919956892,0.0475464920053988,0.0636267404328928
"miR145",0.176091775621032,0.0964816981244193,-0.0464165517842873,-0.171759346530112,0.0491894744542292,0.0491894744542292,0.00214353071656999,-0.000466434346106908,0.0658928596791347,-0.0562386344165705,-0.060743626232964
"SNAIL",0.0813547598953954,-0.0272211749869316,-0.0412948064510228,0.0375965828408439,0.0467986903430915,0.0467986903430915,0.0726248239467454,-0.0682412997940291,-0.0478672539568988,-0.107520934784135,-0.0477614395116484
"GRHL2",0.154768613250571,0.094456625251023,-0.0387061673948811,0.0419784724370959,0.0403355070229541,0.0403355070229541,0.0116416874551957,-0.0107225698081368,-0.0456834013156933,-0.0492898154475353,-0.0609540819655323
"KEAP1",0.0837472931583896,0.0713933731609383,-0.037989889752007,0.0296337691074533,0.0519045465238067,0.0519045465238067,0.0769603756915696,-0.065314925432258,-0.0535601494755515,-0.111830359022477,-0.140401240202189
"Ecad",0.157223451765552,0.133591164274265,-0.0369012237712438,0.0380722090748938,0.0407230003297529,0.0407230003297529,0.00739144060049444,-0.00456259815946363,-0.0453647260816965,-0.140375837614776,-0.158113351332478
"miR200",0.151177317990497,0.0121067300062852,-0.0358071988941286,0.0382119808835098,0.0386809790202945,0.0386809790202945,-0.0938444093068586,-0.00409758360976815,-0.0438752857710195,-0.0310282470718382,0.0439556256912989
"OCT4",-0.162464912751194,-0.043088874595987,0.0447287880927301,0.124836823707086,-0.0400133930082692,-0.0400133930082692,0.100228168122408,-0.0961489140431543,-0.134266281811646,0.0400496480667772,-0.0343625078655406
"NRF2",-0.0772827204776007,-0.0765925628976028,0.0467986903430915,-0.0535601494755515,-0.037989889752007,-0.037989889752007,-0.065314925432258,0.0726248239467454,0.0375965828408439,0.0994181810365288,0.0608595053413057
"miR34",-0.0772827204776007,-0.0765925628976028,0.0467986903430915,-0.0535601494755515,-0.037989889752007,-0.037989889752007,-0.065314925432258,0.0726248239467454,0.0375965828408439,0.0994181810365288,0.0608595053413057
