"","SNAIL","ZEB","miR145","OVOL2","GRHL2","Ecad","miR200","KEAP1","OCT4","miR34","NRF2"
"SNAIL",0.474383450613149,-0.10688741532121,0.122369388691274,0.0905643872299883,0.115779484004775,0.115779484004775,-0.176091219033698,0.18626774596888,-0.109992673822901,-0.321702326023874,-0.12985890393302
"KEAP1",0.564409864697094,-0.104113775113879,0.123223738060677,0.0925950102955275,0.116809242911387,0.116809242911387,-0.172368643159644,0.186560062301558,-0.104205333152702,-0.319411874387244,-0.223834654097176
"ZEB",-0.200428914156754,-0.055352474355881,-0.033061262997905,-0.0316843965785865,-0.0295330055252387,-0.0295330055252387,-0.00911661074549334,0.0268039029981141,0.0520761541777446,0.0587098533851677,0.0598612682808376
"Ecad",0.367575396105319,-0.0416434577807299,0.0629411467545594,0.0570907758954639,0.0587657735502881,0.0587657735502881,0.00989739079901577,0.00980377599356377,-0.0401928474348315,-0.204189966217472,-0.152038565304997
"miR145",0.200839124311537,-0.0348232236100335,0.0611887413832573,0.0548974119698215,0.0546682800605036,0.0546682800605036,0.0343015075078829,-0.0113645029188133,-0.135254823648935,-0.0777981606926806,-0.0351220125489692
"OVOL2",0.121784564927105,-0.034646594412212,0.0566555936775135,-0.0402396563481457,0.0558052396885044,0.0558052396885044,-0.0517126949511895,0.0763028588856158,-0.0295160607980858,-0.0656537155207087,-0.0351987415434503
"miR200",0.0204812983994802,-0.0245249708854492,0.0470613499414793,0.0493727341880983,0.0425925828981736,0.0425925828981736,0.0384715176710944,-0.117518133924564,-0.0238340419507889,-0.0359989596987769,0.0708011428285729
"GRHL2",-0.196527265157931,0.0295330055252387,-0.0520761541777446,-0.0517857746872511,-0.0476169481816956,-0.0476169481816956,-0.0268039029981141,0.00590929515497689,0.0285233920209467,0.0735188296462952,0.0361148160575641
"OCT4",-0.0944236373568127,0.0494914407618262,-0.130583723338124,-0.0267495519161353,-0.0261066036791267,-0.0261066036791267,-0.114491808367974,0.141968498344664,0.159874723576844,0.0380803905051034,-0.038069114091737
"NRF2",-0.572444976108303,0.115779484004775,-0.109992673822901,-0.0779858064971345,-0.104113775113879,-0.104113775113879,0.18626774596888,-0.172368643159644,0.123223738060677,0.310746769000827,0.143092701014798
"miR34",-0.572444976108303,0.115779484004775,-0.109992673822901,-0.0779858064971345,-0.104113775113879,-0.104113775113879,0.18626774596888,-0.172368643159644,0.123223738060677,0.310746769000827,0.143092701014798
