"","miR145","miR34","GRHL2","Ecad","miR200","OVOL2","SNAIL","NRF2","ZEB","KEAP1","OCT4"
"OCT4",0.120341721596885,0.26968981167398,0.276260898044811,0.276260898044811,-0.0173496858661253,0.140584469022871,-0.0427766568398961,-0.253922073190926,-0.275884627129752,0.0166503851668246,-0.120508825917725
"Ecad",0.287644585606654,0.168953296883737,0.267706078344587,0.267706078344587,0.12452853493207,0.137224927851675,0.0242386314275565,-0.231041003348313,-0.26725200588219,-0.123596779706686,-0.287753429144069
"GRHL2",0.271062343544114,0.254384815825701,0.248336972392267,0.248336972392267,0.148615343981875,0.125384716943167,-0.0926009085370952,-0.113946467018986,-0.247951227674667,-0.148268121759653,-0.271459300209678
"KEAP1",0.184188903142729,0.0280498264734718,0.17170842311491,0.17170842311491,0.00707445338767925,0.121420175077513,0.0342794780709054,-0.200715708898344,-0.170939803978944,-0.00344409035137562,-0.182961909277699
"SNAIL",0.18361416561433,0.0266293635362988,0.170915175459118,0.170915175459118,0.00616080085780589,0.120848871394512,-0.0681901519924935,-0.100935818634803,-0.170608552401064,-0.00508886727207401,-0.183517762203132
"OVOL2",0.175561119563842,0.166055369085552,0.161824739988868,0.161824739988868,0.0122369682828835,-0.000735792915200919,-0.0868077095652331,-0.0936558470439948,-0.161598952704258,-0.0118072372626703,-0.1756731595535
"ZEB",-0.270624980220152,-0.253698614045285,-0.247951227674667,-0.247951227674667,-0.148110358044774,-0.125147112000984,0.0935726399858584,0.114088378088049,0.147856906520034,0.148615343981875,0.271062343544114
"NRF2",-0.183517762203132,-0.0254737140612938,-0.170939803978944,-0.170939803978944,-0.00508886727207401,-0.120616668868602,-0.0282700249986569,0.102734257725404,0.170915175459118,0.00707445338767925,0.184188903142729
"miR34",-0.183517762203132,-0.0254737140612938,-0.170939803978944,-0.170939803978944,-0.00508886727207401,-0.120616668868602,-0.0282700249986569,0.102734257725404,0.170915175459118,0.00707445338767925,0.184188903142729
"miR200",-0.280412460981994,-0.24785122369136,-0.25823963095738,-0.25823963095738,-0.142998346283946,-0.130988540990365,0.0152259892582845,0.222922687225169,0.257910736796599,0.0429696299060385,0.280769326769427
"miR145",-0.192726766568295,-0.289320072352085,-0.290174634849101,-0.290174634849101,-0.055058332601602,-0.148082628323896,0.0952798993315177,0.173836231087912,0.28974476097693,0.054349112743446,0.0927402527449638
