"","miR200","ZEB","OVOL2","miR145","miR34","GRHL2","Ecad","NRF2","OCT4","SNAIL","KEAP1"
"ZEB",-0.112901507879032,-0.0819710492166611,-0.0248375973363658,-0.0197860550776796,-0.014684517442157,-0.0135246707384919,-0.0135246707384919,0.0127114871826969,0.02621113057492,0.0448039351600896,0.116621784023241
"OVOL2",0.127345564924947,-0.0788511828765553,-0.0367459209917093,0.0883672152720845,0.0878096833448317,0.0814120860256937,0.0814120860256937,0.0216201190929203,-0.0846698956133756,-0.0817165446850154,-0.125239352393778
"SNAIL",-0.0403907394459997,-0.0319020040836936,0.0474412282340143,0.0421057513472299,-0.0542795483978801,0.0412131242799324,0.0412131242799324,-0.0323171100042649,-0.0288836527191246,-0.0369062753723329,0.048113222682783
"KEAP1",-0.0379499633799443,-0.0290055879528656,0.051894824195993,0.0462853785101121,-0.0492405131813999,0.0450935815918797,0.0450935815918797,-0.127538433213661,-0.0235859920070446,0.0704965825160257,0.0513870213714577
"miR145",0.14147252340579,-0.0235754992883036,0.0360353470591001,0.0409820051381527,0.0324614979728851,0.0305999217929094,0.0305999217929094,-0.00699065954005725,-0.130961775873149,-0.0346285429469713,-0.135606857990688
"miR200",0.12002601547009,-0.0105970392829119,0.0314451976528851,0.0242682434155868,0.0269429445344486,0.0174822498290919,0.0174822498290919,0.0980809639741846,-0.0145397717321113,-0.0343758852063991,-0.214311456266491
"Ecad",-0.138484045427068,0.0113386627433917,-0.0247253038443608,-0.0207482503401424,-0.110146107370952,-0.0133346896093458,-0.0133346896093458,-0.103674147091655,0.0178638965986458,0.0961204876374489,0.136847178139231
"GRHL2",-0.116621784023241,0.0135246707384919,-0.0317360608244064,-0.02621113057492,-0.0224367429614449,-0.0194490187147715,-0.0194490187147715,0.00549767450530809,0.0178088811538152,0.0331726041824689,0.111719823238927
"OCT4",-0.225634107880008,0.0251882893670687,-0.0235338561236162,-0.124353329879224,-0.0179625109289826,-0.0161017470566052,-0.0161017470566052,-0.0836409645636695,0.137411338950601,0.0524718063585015,0.233005902751803
"NRF2",0.048113222682783,0.0412131242799324,-0.0332315663435459,-0.0288836527191246,0.0702539259980914,-0.0290055879528656,-0.0290055879528656,0.0474511446157342,0.0462853785101121,-0.0390313563175112,-0.0379499633799443
"miR34",0.048113222682783,0.0412131242799324,-0.0332315663435459,-0.0288836527191246,0.0702539259980914,-0.0290055879528656,-0.0290055879528656,0.0474511446157342,0.0462853785101121,-0.0390313563175112,-0.0379499633799443
