"","ZEB","miR200","OVOL2","miR145","GRHL2","Ecad","miR34","NRF2","OCT4","SNAIL","KEAP1"
"ZEB",-0.0773813553361085,-0.0346589007433912,-0.0307312262549064,-0.0301307762736366,-0.0227734737290443,-0.0227734737290443,-0.0173055380425696,0.0262692409848772,0.0296934129496753,0.0327741985561622,0.034141130352187
"KEAP1",-0.0761345228523116,-0.0200403950994246,0.0651165262851409,0.0820084360849617,0.0756309447977131,0.0756309447977131,0.0896674425738465,-0.152433890295727,-0.0824685587843483,0.0110655510346186,0.0199932475275246
"SNAIL",-0.0759771254491604,-0.0199600633962715,0.0652685072628108,0.0822134435308259,0.0758800281474433,0.0758800281474433,0.0899098214137053,-0.0528277737997336,-0.0824878224703884,-0.0891451527159081,0.0196726939669051
"Ecad",-0.0299072798111854,0.0418663600309533,0.0335231389948774,0.0360068981938854,0.0295099664065879,0.0295099664065879,0.110392771169527,-0.132615958474615,-0.036687170302729,0.0381697248748006,-0.0423448289304748
"GRHL2",-0.0227734737290443,0.034141130352187,0.0302243357115831,0.0296934129496753,0.0223992437791335,0.0223992437791335,0.0170737131167536,-0.0268132334162869,-0.0304211668365427,-0.0332895106880821,-0.0347130257770236
"miR145",-0.0150177128991441,0.031741148033262,0.0227091434645869,0.028611993858163,0.0147201079107176,0.0147201079107176,0.0128282196112208,-0.0163561174851736,-0.129164927101588,-0.030629017515572,-0.0321166173699329
"OCT4",-0.00296674195501741,-0.139350004921848,0.00148749928703461,-0.136922403550015,0.00295873619086722,0.00295873619086722,0.00617917643883474,-0.124483534525584,0.137041763779187,0.0221733512985454,0.139612242684086
"miR200",0.0290199338677172,-0.0277061294119557,-0.0338599815690466,-0.036376838737294,-0.0287126065371516,-0.0287126065371516,-0.0266643934456852,0.133873709735836,0.0370440226007541,-0.0230632637201651,-0.0716716824000477
"OVOL2",0.0364712393267194,-0.0748646586228095,-0.0725136730700247,-0.0363940360533456,-0.0359008293445447,-0.0359008293445447,-0.0306772798601871,-0.028469717980835,0.0369542360016348,0.0643956113303305,0.0746046978821867
"NRF2",0.0758800281474433,0.0196726939669051,-0.0655913254085887,-0.0824878224703884,-0.0761345228523116,-0.0761345228523116,-0.0901145364635634,0.0524884456694316,0.0820084360849617,-0.0110655510346186,-0.0200403950994246
"miR34",0.0758800281474433,0.0196726939669051,-0.0655913254085887,-0.0824878224703884,-0.0761345228523116,-0.0761345228523116,-0.0901145364635634,0.0524884456694316,0.0820084360849617,-0.0110655510346186,-0.0200403950994246
