"","miR145","GRHL2","Ecad","miR34","miR200","OVOL2","SNAIL","KEAP1","ZEB","NRF2","OCT4"
"Ecad",0.421115715903036,0.403305722947793,0.403305722947793,0.278508606804718,0.190535074504332,0.210644876614243,0.0102445772878977,-0.185355858521792,-0.408480257050527,-0.463310492352568,-0.412108913181948
"GRHL2",0.417878368896553,0.398251674590384,0.398251674590384,0.379843338441597,0.221929854658768,0.204815630980966,-0.105228655797978,-0.217130018057461,-0.403473621737601,-0.371767608981349,-0.409079162809884
"miR145",0.384275827102092,0.360652531562811,0.360652531562811,0.345790999018081,0.205115658364821,0.185509171964734,-0.0919048770650089,-0.201235808552555,-0.365069367502157,-0.344318142061267,-0.476979805524209
"SNAIL",0.254789610441211,0.242771328018513,0.242771328018513,0.0857845076491549,0.0427703795571822,0.15997522098546,-0.0858651288997847,-0.0399833522342793,-0.245306078631759,-0.142300523577837,-0.25018449364477
"OVOL2",0.251022940264108,0.238222229959195,0.238222229959195,0.234625627876778,0.0522454161576015,0.0389862191357728,-0.115322509498035,-0.0500437078441632,-0.240878201438696,-0.143449604030883,-0.246670617588938
"OCT4",-0.14694686164535,-0.00701853896281729,-0.00701853896281729,-0.00144328705973765,-0.138224810190587,-0.00371568066743121,-0.0251847801509807,0.137496371962149,0.007346775292975,0.125165303858255,0.146111340041148
"KEAP1",-0.244719488850906,-0.23378419205209,-0.23378419205209,-0.0785758193639967,-0.0383507592058927,-0.155959847357162,-0.0167054995380227,0.0314200661365858,0.238740460273665,0.230687208068023,0.234750163697532
"NRF2",-0.25018449364477,-0.238740460273665,-0.238740460273665,-0.0819609588147099,-0.0399833522342793,-0.157749474822465,-0.0137345339742145,0.0383507592058927,0.242771328018513,0.136633743801793,0.244719488850906
"miR34",-0.25018449364477,-0.238740460273665,-0.238740460273665,-0.0819609588147099,-0.0399833522342793,-0.157749474822465,-0.0137345339742145,0.0383507592058927,0.242771328018513,0.136633743801793,0.244719488850906
"ZEB",-0.423720293295178,-0.403473621737601,-0.403473621737601,-0.384146009064743,-0.224569844431205,-0.207152079579097,0.106450681710817,0.221929854658768,0.30723045112309,0.378461081072173,0.417878368896553
"miR200",-0.395065616925001,-0.375867969851742,-0.375867969851742,-0.359576739997726,-0.212286535275447,-0.194411003149323,0.0894374815518503,0.107854640951718,0.380208294432537,0.256355195224288,0.387447308158516
