"","miR145","GRHL2","Ecad","miR34","OVOL2","miR200","SNAIL","KEAP1","NRF2","ZEB","OCT4"
"GRHL2",0.423967876222548,0.404524670497657,0.404524670497657,0.38995103903289,0.208538383597412,0.199676840411879,-0.129908841531817,-0.195244650869395,-0.196191361649377,-0.409378145078807,-0.41334928541871
"Ecad",0.406639970804356,0.389133487285675,0.389133487285675,0.271330232611292,0.203876706783466,0.219853635624311,-0.00514521455845011,-0.215396320086663,-0.278755016924441,-0.392870125257484,-0.396136569443812
"miR145",0.387439842124981,0.36395518661065,0.36395518661065,0.354573733116186,0.187658118926718,0.187688015403543,-0.122533649420385,-0.184025103430243,-0.140650669763248,-0.367805155905373,-0.478687313466855
"OVOL2",0.257102688754818,0.244397778847731,0.244397778847731,0.239057322286294,0.042543357106295,0.0402659117295746,-0.10667368468505,-0.0377989373542762,-0.135547196083597,-0.246762603565497,-0.25121628006741
"SNAIL",0.133432458987689,0.127039404158419,0.127039404158419,0.00576890898393385,0.0944732820680784,0.125469170316999,-0.0716335191137361,-0.123430215794351,-0.00756939825114553,-0.12653347611263,-0.128857004779309
"KEAP1",0.130582795766845,0.124446092171254,0.124446092171254,0.00450338933097554,0.0942599708966295,0.124415654829503,0.0335509313193803,-0.119842340355199,-0.103513159010189,-0.123041374440006,-0.120613470613471
"OCT4",-0.135470148615992,0.00444054385279284,0.00444054385279284,-0.00064868878252351,0.00239873561866772,-0.132565259679943,0.0259411423973718,0.132944047558731,-0.121833400397417,-0.00428843433393927,0.136305670220193
"NRF2",-0.128857004779309,-0.123041374440006,-0.123041374440006,-9.6320989480967e-05,-0.0905711469375353,-0.123430215794351,-0.0209918496178273,0.124415654829503,0.0101143592284105,0.127039404158419,0.130582795766845
"miR34",-0.128857004779309,-0.123041374440006,-0.123041374440006,-9.6320989480967e-05,-0.0905711469375353,-0.123430215794351,-0.0209918496178273,0.124415654829503,0.0101143592284105,0.127039404158419,0.130582795766845
"ZEB",-0.429393264122162,-0.409378145078807,-0.409378145078807,-0.393530415887489,-0.210122416545297,-0.201818236474267,0.134664436349249,0.199676840411879,0.200756167704249,0.313996322366985,0.423967876222548
"miR200",-0.423375753199443,-0.404254050583542,-0.404254050583542,-0.369532042074096,-0.209422860884175,-0.202613702940584,0.0491324111616932,0.098641270663375,0.293988860593069,0.409349214221867,0.413709345131173
