"","ZEB","miR145","miR200","GRHL2","Ecad","OVOL2","miR34","NRF2","KEAP1","OCT4","SNAIL"
"OVOL2",-0.0977394029183508,0.102593557733981,-0.0245095162336263,0.095475588301595,0.095475588301595,-0.0310823148124533,0.0980906594525919,-0.0668881807075577,0.0251196281759044,-0.104170736049934,-0.0636869866758712
"ZEB",-0.0593938894772642,-0.0486892032627207,-0.0460280259449308,-0.043725827203343,-0.043725827203343,-0.0435999905986192,-0.0418002474929563,0.0384908445586622,0.0457595524087508,0.0458567550694477,0.0466607679048795
"NRF2",-0.0450415421444885,0.0403760099981059,0.0890298107174153,0.0408957413071188,0.0408957413071188,0.041059343328077,0.0969665425693852,0.0198707397440356,-0.108047313291323,-0.0524565469108575,-0.0817902052894682
"miR34",-0.0450415421444885,0.0403760099981059,0.0890298107174153,0.0408957413071188,0.0408957413071188,0.041059343328077,0.0969665425693852,0.0198707397440356,-0.108047313291323,-0.0524565469108575,-0.0817902052894682
"GRHL2",-0.043725827203343,0.0458567550694477,0.0457595524087508,0.0404729053310418,0.0404729053310418,0.0411209790351786,0.0415962415582382,-0.0372846004716234,-0.0430021994675743,-0.0472130236767914,-0.0405653615444555
"Ecad",-0.0353776478948744,0.0374706704615625,0.0387545819209681,0.030959901229469,0.030959901229469,0.0332909643452915,0.0324401020083499,-0.136698483592332,-0.0416170011268776,-0.042368629645236,0.0579130475923811
"miR145",-0.0284318582480073,0.0361846675897855,0.0386079604483341,0.0254699800298582,0.0254699800298582,0.0302300614919744,0.0269417653092127,-0.0246805426749789,-0.0366638636606829,-0.137654660846697,-0.0357138671459793
"OCT4",0.00214810619019993,-0.143435718929854,-0.143550446235125,-0.00322888435047533,-0.00322888435047533,-0.00198130997070542,-0.00753027259868298,-0.123694748302699,0.141831332016011,0.141693059583948,0.0266499765114486
"miR200",0.0405559232663971,-0.0439084241968129,-0.0332205393921398,-0.0386742173301271,-0.0386742173301271,-0.0413029135526385,-0.0245862161667675,0.140802971802317,-0.0718814037494319,0.0430860812953389,-0.0292117842478876
"KEAP1",0.0408957413071188,-0.0524565469108575,-0.108047313291323,-0.0506757572095837,-0.0506757572095837,-0.0553398400410062,-0.112827730561721,-0.1460027637484,0.0792401468603944,0.0311375285059496,0.0499198474231616
"SNAIL",0.0442954260365572,-0.0461824616110091,-0.100474412277421,-0.0450415421444885,-0.0450415421444885,-0.048348237251167,-0.106535320222426,-0.0364978181288337,0.0890298107174153,0.0403760099981059,-0.0410500812676326
