"","miR200","ZEB","GRHL2","Ecad","miR34","miR145","OCT4","NRF2","OVOL2","SNAIL","KEAP1"
"SNAIL",0.140232754562272,-0.100490817194052,0.102708723980643,0.102708723980643,-0.0138072712830225,0.0912701051830292,-0.0887413695508452,0.0124297502701084,-0.0816938987805403,-0.0669829429783832,-0.141432407894389
"KEAP1",0.139652734412995,-0.0992689407116173,0.104437241798286,0.104437241798286,-0.0112510149948574,0.0925764606342585,-0.0865948655422339,-0.0860987356137118,-0.0839821727825822,0.0373974898278919,-0.141868670292297
"ZEB",-0.129263450008213,-0.0565452265181204,-0.0412925055030218,-0.0412925055030218,-0.0402242725086858,-0.021288581769985,0.023735733701673,0.028414915454878,0.0408087030399725,0.0513967605364833,0.127901905646157
"Ecad",0.163790247409985,-0.0502691647615486,0.0539206641466588,0.0539206641466588,0.0542550177210014,0.0327818753217092,-0.0286186100155867,-0.11786615837408,-0.0502107696555231,0.0527654006795771,-0.165796459111487
"OVOL2",-0.0376918116162587,-0.0427287298053279,0.0478564778742525,0.0478564778742525,0.0489344326962408,0.0387781561796924,-0.0329779320997131,-0.040399577327877,-0.0811995272158286,-0.040742955353978,0.0350656776038442
"GRHL2",0.127901905646157,-0.0412925055030218,0.0446145159814604,0.0446145159814604,0.045565518799487,0.023735733701673,-0.0199646453788149,-0.0261679901947078,-0.0452123146350937,-0.0423861598297695,-0.129862689959883
"miR200",0.113890627282114,-0.0359421899955223,0.0395708091792178,0.0395708091792178,0.0437843124849554,0.0192213007575888,-0.0151406180578216,0.0714136743718001,-0.0431722701120964,-0.0410202469057418,-0.215948634365487
"miR145",0.114509367417581,-0.0250609777606122,0.0278716915401955,0.0278716915401955,0.0291987655456762,-0.0805589048226872,-0.0162988160134558,-0.0232766820215506,-0.0332565472043076,-0.0358193464834337,-0.116136401209822
"OCT4",-0.0657081894393796,-0.00317238727498635,0.00345258902024293,0.00345258902024293,-0.0005070421152956,0.074934930752697,-0.0745768500651821,-0.081245622619639,-0.00184142391593684,0.0204441023850496,0.065620776851967
"NRF2",-0.141432407894389,0.102708723980643,-0.0992689407116173,-0.0992689407116173,0.0191496737131882,-0.0887413695508452,0.0925764606342585,-0.00991872210587357,0.0772254160258255,-0.0242307106246509,0.139652734412995
"miR34",-0.141432407894389,0.102708723980643,-0.0992689407116173,-0.0992689407116173,0.0191496737131882,-0.0887413695508452,0.0925764606342585,-0.00991872210587357,0.0772254160258255,-0.0242307106246509,0.139652734412995
