"","miR200","SNAIL","ZEB","miR145","GRHL2","Ecad","OVOL2","miR34","NRF2","OCT4","KEAP1"
"OVOL2",0.133766163233293,0.0805142525228254,-0.098068156534123,0.108006395534279,0.100896439362406,0.100896439362406,-0.026743470077966,0.0916866503818344,0.0110687327010734,-0.103361045193849,-0.132901395871629
"ZEB",-0.12952497579373,-0.0816782372358431,-0.0521157586227367,-0.0477554240455133,-0.0432731826667937,-0.0432731826667937,-0.0411600888390492,-0.0272441165099109,0.0316029619263783,0.0546491031041408,0.130611654392554
"miR145",0.155744775159142,0.0828321421449375,-0.0504107279423985,0.06541733279606,0.0579925693142158,0.0579925693142158,0.0524711686123941,0.0421582917144557,-0.0260249195069251,-0.15299656408399,-0.15324999001104
"GRHL2",0.130611654392554,0.0793078014290115,-0.0432731826667937,0.0546491031041408,0.0495084293706914,0.0495084293706914,0.0488109679773352,0.0316395171033828,-0.0251223564391503,-0.0445928675765193,-0.128712144588632
"miR34",-0.0255181282191287,0.0318189084418445,-0.0421453264400057,0.0343449280597267,0.0343052476287423,0.0343052476287423,0.0373260369213861,-0.0430347690300852,-0.0392376754267632,-0.0463775263339357,0.0234442938317188
"miR200",0.131645746055566,0.00725127593469856,-0.0407920176240662,0.0526129825392398,0.0475909608493856,0.0475909608493856,0.0485453924436778,0.0332179966232942,0.0773061230497882,-0.0417673657820637,-0.229587738972193
"SNAIL",-0.0240265440381316,-0.0711098736904775,-0.03654434524622,0.0430434820085588,0.0421453264400057,0.0421453264400057,0.0468123596262623,-0.0375602923742046,-0.0310938002995152,-0.0343449280597267,0.0255181282191287
"KEAP1",-0.0234442938317188,0.0275650259300281,-0.0343052476287423,0.0463775263339357,0.0451984360729511,0.0451984360729511,0.0504743203399397,-0.0353915925344497,-0.127944713069971,-0.0296597349228928,0.026697476292822
"Ecad",-0.146661091658229,0.0177411772746816,0.0360827191443367,-0.0456413267234854,-0.0392612263811166,-0.0392612263811166,-0.0404053061857141,-0.112590834684878,-0.0882201094367015,0.0403352042745058,0.145678971285527
"NRF2",0.0255181282191287,-0.0318189084418445,0.0421453264400057,-0.0343449280597267,-0.0343052476287423,-0.0343052476287423,-0.0373260369213861,0.0430347690300852,0.0392376754267632,0.0463775263339357,-0.0234442938317188
"OCT4",-0.242213850091895,-0.034557333884546,0.0535818673822085,-0.148396986021453,-0.0431183336379126,-0.0431183336379126,-0.0383379285765062,-0.0306296586078779,-0.0646671071369432,0.163460246942914,0.244370027248072
