"","ZEB","OVOL2","miR200","miR145","miR34","GRHL2","Ecad","OCT4","KEAP1","NRF2","SNAIL"
"ZEB",-0.0943781527120099,-0.0184573876808516,-0.0181643234890705,-0.00666599443040381,-0.00274639348371029,-0.000847061290232452,-0.000847061290232452,0.0136846344387345,0.0225813523819368,0.0273208030559782,0.0387651156851363
"SNAIL",-0.0775454782955989,0.0701426852128489,0.105659655647601,0.0877811801388827,-0.0308207721180777,0.0813169419096627,0.0813169419096627,-0.082286185700618,-0.102224906753745,0.0159307451606728,-0.0596621622765711
"KEAP1",-0.0762845143585585,0.0721637147054117,0.106799108842288,0.0896687360361884,-0.028450170519136,0.0830430619334326,0.0830430619334326,-0.079852785115943,-0.100811367210982,-0.0819852284565188,0.0439698098337073
"OVOL2",-0.029763257554458,-0.0530264318356446,-0.0566798932079354,0.0387082633668052,0.0387055227934757,0.0380104352134004,0.0380104352134004,-0.0266855106304439,0.0643354717532164,-0.0355694682681352,-0.0344019552124734
"Ecad",-0.00775714698431392,-0.0169989414738273,-0.0183255936558585,-0.00287203067463449,-0.0959527509329665,0.00368941450867302,0.00368941450867302,-0.00300552034577367,0.014556601798224,-0.0825475412386747,0.08392918388606
"miR145",-0.00466175465097018,-0.0186906447499041,0.093359022087364,0.109636621949514,-0.00134346338785603,-0.000501455703793859,-0.000501455703793859,-0.217040532940748,-0.0981066232554909,0.0845705920494361,0.0122124167159138
"OCT4",-0.00297054749317362,0.00183556545052089,-0.133023375983932,-0.136467447876115,-0.00153475177443318,0.0033948529931336,0.0033948529931336,0.137111993113642,0.133343888804445,-0.121379511508528,0.0261590073211191
"GRHL2",-0.000847061290232452,0.0260132248422646,0.0225813523819368,0.0136846344387345,0.0114351917032949,0.00726654427716319,0.00726654427716319,-0.00442231224224099,-0.0166989994407603,-0.0189953536709262,-0.0252933842363731
"miR200",0.00267519792508725,0.0244683993964527,0.011241532901505,0.0103621793705314,0.0148652723246308,0.00390807699808091,0.00390807699808091,-0.000850930340275358,-0.105239809918831,0.0780190660031574,-0.0266675504454175
"NRF2",0.0813169419096627,-0.0642016986352876,-0.102224906753745,-0.082286185700618,0.0376688207213928,-0.0762845143585585,-0.0762845143585585,0.0896687360361884,0.106799108842288,-0.00944957787190454,-0.0296551575717222
"miR34",0.0813169419096627,-0.0642016986352876,-0.102224906753745,-0.082286185700618,0.0376688207213928,-0.0762845143585585,-0.0762845143585585,0.0896687360361884,0.106799108842288,-0.00944957787190454,-0.0296551575717222
