"","miR145","GRHL2","Ecad","miR34","miR200","OVOL2","NRF2","KEAP1","SNAIL","ZEB","OCT4"
"miR145",0.619708695459216,0.606786323316682,0.606786323316682,0.596981404527221,0.355469624699969,0.320587392966696,-0.231712372162454,-0.329061614687453,-0.369434904798284,-0.628558726358866,-0.680801075769398
"GRHL2",0.597775293722619,0.58433843424639,0.58433843424639,0.574740016946314,0.340964255465504,0.306694393818566,-0.256326277623988,-0.317128471151779,-0.350301259014214,-0.604863507653034,-0.562181512710379
"Ecad",0.586315633323414,0.573557577607893,0.573557577607893,0.417554067017253,0.27362613911587,0.305358010568664,-0.367082120531525,-0.250600872600299,-0.0300249103539876,-0.5934989265815,-0.551512912234979
"miR200",0.562106164812971,0.548432511713443,0.548432511713443,0.54920768200601,0.33072245882998,0.289570251116159,-0.136923865424046,-0.408792718234594,-0.368307636173581,-0.56577763491396,-0.530189950693498
"SNAIL",0.3694324648323,0.359985164404028,0.359985164404028,0.0359974929049198,-0.0322462211666891,0.224836971356536,-0.235189092697343,0.0454606534980306,0.259767026767145,-0.372428950176718,-0.348587081072567
"KEAP1",0.330705968896153,0.322987126613186,0.322987126613186,0.00199474307848692,-0.0528588002843227,0.206932981303073,-0.314443833340875,0.072142157191442,0.382998758495886,-0.340241301010218,-0.299570999571
"OVOL2",0.187836770318033,0.182166884458251,0.182166884458251,0.180715736306627,0.0262727993068412,0.0166999430651719,-0.0981560208155262,-0.0139591487152979,-0.126348076669778,-0.183355238587782,-0.173314663966228
"NRF2",-0.348587081072567,-0.340241301010218,-0.340241301010218,-0.0173023862549826,0.0454606534980306,-0.21314189291739,0.231083222320689,-0.0528588002843227,-0.368616584289269,0.359985164404028,0.330705968896153
"miR34",-0.348587081072567,-0.340241301010218,-0.340241301010218,-0.0173023862549826,0.0454606534980306,-0.21314189291739,0.231083222320689,-0.0528588002843227,-0.368616584289269,0.359985164404028,0.330705968896153
"ZEB",-0.619206096596721,-0.604863507653034,-0.604863507653034,-0.594825328519015,-0.35145390005768,-0.314471995592683,0.273260998532218,0.340964255465504,0.371576288460621,0.527206943434565,0.597775293722619
"OCT4",-0.657051619539377,-0.545688887207726,-0.545688887207726,-0.540879758632598,-0.419695119977287,-0.285547493277757,0.128480208643815,0.40739908268125,0.352735553648462,0.579385148515868,0.628429036584018
