"","GRHL2","Ecad","miR34","miR200","miR145","SNAIL","NRF2","OVOL2","ZEB","OCT4","KEAP1"
"GRHL2",0.448613699334961,0.448613699334961,0.428908211465648,0.415133851855463,0.385534994728619,-0.149928508051973,-0.160379372535861,-0.231630100068942,-0.458061566224247,-0.375147961979694,-0.403307871463306
"miR200",0.428583909187458,0.428583909187458,0.409788238613943,0.400295261616713,0.369462288498661,-0.130619378737271,-0.0515079105277685,-0.222831606550992,-0.436849396867407,-0.359733816815185,-0.489124590610683
"Ecad",0.427264397334475,0.427264397334475,0.30365188040007,0.331021096267844,0.371527608778911,-0.0188160199544875,-0.26429406167467,-0.224043790693262,-0.435210665426424,-0.361758901295918,-0.31973090907738
"miR145",0.400955517304772,0.400955517304772,0.387315903464441,0.368121010306277,0.257306804405164,-0.138306798370672,-0.118325433726074,-0.206874148588687,-0.408622388673282,-0.348850971633755,-0.358417213894095
"SNAIL",0.14026228464683,0.14026228464683,0.0139649241206603,0.029202229851391,0.123064926046544,-0.0651066585307143,-0.0750939990719514,-0.101435802230356,-0.141263919969806,-0.119646312772536,-0.0249281797670048
"OVOL2",0.138367008590332,0.138367008590332,0.135223581326225,0.0374258311374219,0.120684407647209,-0.0760555895248065,-0.0723399845686711,-0.122130333507611,-0.139828684169654,-0.117693801769419,-0.0337916860899393
"KEAP1",0.134705186288128,0.134705186288128,0.0102447415747908,0.0246193108156884,0.118735478640225,0.0416044479897772,-0.171222048512782,-0.0995750296717976,-0.135738846505462,-0.111833638149428,-0.0158027148703796
"OCT4",0.00394158657525516,0.00394158657525516,-0.000159275549770532,-0.0703875959218192,0.0753732068666488,0.0207549796381067,-0.0841363123033615,-0.0020749431667825,-0.00394959233940535,-0.0750151261791339,0.0708537963880197
"NRF2",-0.135738846505462,-0.135738846505462,-0.00771120953306207,-0.0249281797670048,-0.119646312772536,-0.0282351029526401,0.0776050272361862,0.0977488791969985,0.14026228464683,0.118735478640225,0.0246193108156884
"miR34",-0.135738846505462,-0.135738846505462,-0.00771120953306207,-0.0249281797670048,-0.119646312772536,-0.0282351029526401,0.0776050272361862,0.0977488791969985,0.14026228464683,0.118735478640225,0.0246193108156884
"ZEB",-0.458061566224247,-0.458061566224247,-0.43695717288998,-0.423226411303175,-0.392845210286257,0.155096352574941,0.164069060331509,0.235914909192972,0.3656197161059,0.385534994728619,0.415133851855463
