"","NRF2","ZEB","miR200","OVOL2","miR145","GRHL2","Ecad","miR34","OCT4","KEAP1","SNAIL"
"ZEB",-0.131079789198438,-0.0664037646233328,-0.0270816322453425,-0.019411756520564,-0.0124617239104571,-0.00952298521205007,-0.00952298521205007,-0.00023751959590638,0.0414110105917026,0.0558210850707069,0.0925466393164664
"OVOL2",-0.011505668438513,-0.0254811722747501,-0.0371076560693439,-0.0371955749540961,0.0575228682977706,0.0567230023401096,0.0567230023401096,0.0477957101156629,-0.0201618409772501,0.0742820419784107,-0.0514152124740869
"SNAIL",-0.0112155193911097,-0.0240020127184957,-0.0244783384331672,0.0534022923447465,0.047157288197257,0.0463752751878334,0.0463752751878334,0.0764077147734354,-0.0203942181193927,0.0510942212959141,-0.083218752554042
"KEAP1",-0.112310236738923,-0.0205727959168376,-0.0203102824813826,0.0577745166880718,0.0514105172564972,0.0504429257869675,0.0504429257869675,0.0791894476623541,-0.0156743209374788,0.055718108978318,0.0189234686362393
"miR145",0.182425647532955,-0.0141866534296616,0.0607643347861071,0.0524565881899466,0.0500168469598525,0.0441030405995798,0.0441030405995798,0.0263189219711024,-0.114453799083925,-0.0252949981152685,-0.0902865913187878
"GRHL2",0.124078843124645,-0.00952298521205007,0.0558210850707069,0.0493816598945542,0.0414110105917026,0.0374290247077032,0.0374290247077032,0.0194140774594079,-0.00819896957284714,-0.0227328497765892,-0.0778381587510954
"miR200",0.224471358236157,-0.00929497691587148,0.0560344961299477,0.0497236141833598,0.0415315435035387,0.0376176166958898,0.0376176166958898,0.0081181908213842,-0.00778445273550142,-0.122445906104103,-0.0588365331624844
"Ecad",-0.017111815435987,0.0102810678027054,-0.0598423080336893,-0.0497067835785176,-0.0418416529851428,-0.0385376187439598,-0.0385376187439598,-0.110078982508088,0.0081817890395646,0.0263410908759624,-0.0164332916402034
"OCT4",-0.26584367858917,0.0414631612883783,-0.124074643473908,-0.0152501170722421,-0.111907948771134,-0.00797504984814133,-0.00797504984814133,0.00489749022555386,0.152466554643658,0.164226158625423,0.0913011586518292
"NRF2",0.00483615054143206,0.0463752751878334,0.0510942212959141,-0.0256342683316073,-0.0203942181193927,-0.0205727959168376,-0.0205727959168376,-0.0587295796615025,0.0514105172564972,-0.0203102824813826,-0.00319085553698203
"miR34",0.00483615054143206,0.0463752751878334,0.0510942212959141,-0.0256342683316073,-0.0203942181193927,-0.0205727959168376,-0.0205727959168376,-0.0587295796615025,0.0514105172564972,-0.0203102824813826,-0.00319085553698203
