"","ZEB","OVOL2","miR200","GRHL2","Ecad","miR34","miR145","OCT4","KEAP1","NRF2","SNAIL"
"OVOL2",-0.0883659011224511,-0.0264166612307038,-0.0282901110514449,0.09783708353481,0.09783708353481,0.10074978472187,0.0864641077631993,-0.0774061055223995,0.0363170620833299,-0.0617189667444866,-0.0562145188481309
"ZEB",-0.0647121301077198,-0.0277048061413132,-0.0240740629228193,-0.0214226601611844,-0.0214226601611844,-0.0210560507597031,-0.0038897373443756,0.0172501455501446,0.0359380363311548,0.0488136657757759,0.0528803339555853
"SNAIL",-0.0313262121607103,0.0566483480313289,0.0969125997654654,0.0517575285957062,0.0517575285957062,-0.0416064655574768,0.0417851941212743,-0.0222746268242776,-0.0795016614814714,0.0423151333558532,-0.0419451489739194
"KEAP1",-0.0271043802499218,0.062518948644846,0.100725370850496,0.0570275183363252,0.0570275183363252,-0.0355311355311355,0.0459563142643543,-0.0174287069023911,-0.0747470587335703,-0.0513275457924609,0.0659257813919767
"GRHL2",-0.0214226601611844,0.0462538319610502,0.0359380363311548,0.0382745226748582,0.0382745226748582,0.0408075344392284,0.0172501455501446,-0.00130571948332359,-0.0217631997298476,-0.0297029751419064,-0.0268202632842072
"Ecad",-0.0208919928163641,0.0479148909028596,0.0969621114322073,0.0400765543526426,0.0400765543526426,0.0445134209688212,0.0193991119206432,-0.00122224117234391,-0.0806857746572556,-0.114084141644891,0.0709464049498414
"OCT4",-0.0200997140579341,0.0171563821948574,-0.0878974355146187,0.00579341352154791,0.00579341352154791,-2.63465888065417e-06,0.0317000904157833,-0.0457129813205338,0.0757179483351315,-0.13930035187945,-0.00157785261986076
"miR145",0.00804434844377545,0.0213969199045057,0.00746102758727262,0.00262691614123093,0.00262691614123093,0.00545403547824031,-0.0987719046521589,0.00881910627050012,0.00154189272979038,-0.0155190832766006,-0.0197837831309098
"miR200",0.0306658488486118,-0.0482066431488706,-0.0404697787841789,-0.0441505094406213,-0.0441505094406213,-0.0298773519493635,-0.0226992918528573,0.00992970302430806,-0.070777469229605,0.133581493637787,-0.0355378756184027
"NRF2",0.0517575285957062,-0.0293560560224939,-0.0795016614814714,-0.0271043802499218,-0.0271043802499218,0.0705109098551721,-0.0222746268242776,0.0459563142643543,0.100725370850496,-0.0138115704104851,-0.019538205429789
"miR34",0.0517575285957062,-0.0293560560224939,-0.0795016614814714,-0.0271043802499218,-0.0271043802499218,0.0705109098551721,-0.0222746268242776,0.0459563142643543,0.100725370850496,-0.0138115704104851,-0.019538205429789
