"","ZEB","OCT4","OVOL2","miR34","GRHL2","Ecad","miR200","miR145","KEAP1","SNAIL","NRF2"
"ZEB",-0.072279944774276,-0.0356398660355771,-0.0171826017792064,-0.00548358006006597,-0.004796455360977,-0.004796455360977,-0.00110847570617219,0.00783605472661111,0.0263961259235079,0.0429095319352556,0.116609639132135
"OVOL2",-0.0246213473999159,0.0196548985663714,-0.0399034286912403,0.056730345971572,0.0530289528663449,0.0530289528663449,-0.0462927967981014,-0.0538270954120148,0.0774509484241823,-0.04983058897281,0.0156361735694945
"SNAIL",-0.0238071011057714,0.0185155691694277,0.0606750913723767,-0.0400101426033712,0.0544489653739643,0.0544489653739643,-0.0442226859648617,-0.0553194253058756,0.0778357863617052,-0.040074725463593,0.0178000553356841
"miR200",-0.0155955203741314,0.0159077244566184,0.0474709701548958,0.0229956400730639,0.037620645731332,0.037620645731332,0.0175294198229711,-0.0421140859771769,-0.0935321000182425,0.0456299971858907,-0.210083534166554
"miR145",-0.0106045979850332,-0.211248143402159,0.0490441252195709,0.0376045939190064,0.0387259074469823,0.0387259074469823,0.0310733739122635,0.078031690266623,-0.000643670115851325,-0.00548447175990036,-0.167678405750523
"Ecad",-0.00585933030465506,0.00368375531490256,0.0483094486181453,0.0391698687260878,0.0351943033441026,0.0351943033441026,0.0316210218066571,-0.0385408981720454,0.000352452549088705,0.0796060300015478,-0.203429130460538
"GRHL2",-0.004796455360977,0.00388333279045632,0.0459327997833249,0.0332654791698583,0.0315395033199844,0.0315395033199844,0.0263961259235079,-0.0356398660355771,0.00272969106995615,-0.0153771408869634,-0.109017396937244
"KEAP1",0.0189756873179755,-0.0121395831922148,-0.0668164198021629,0.0340083124319577,-0.0602425836869127,-0.0602425836869127,0.0387859260881356,0.0613727120265706,-0.0839061523964807,-0.0657173655627036,0.0806503832269493
"OCT4",0.039028886025842,0.12949548552861,-0.0172510755215319,-0.00159060969046108,-0.0101360832078131,-0.0101360832078131,-0.0979396399788478,-0.165327426325936,0.130369709908918,-0.00291430119254198,0.251901707236297
"NRF2",0.0544489653739643,-0.0613727120265706,-0.0224409632645442,0.0768654552891006,-0.0189756873179755,-0.0189756873179755,0.0778357863617052,0.0185155691694277,-0.0387859260881356,-0.0231785404445402,-0.00762021142662407
"miR34",0.0544489653739643,-0.0613727120265706,-0.0224409632645442,0.0768654552891006,-0.0189756873179755,-0.0189756873179755,0.0778357863617052,0.0185155691694277,-0.0387859260881356,-0.0231785404445402,-0.00762021142662407
