"","NRF2","miR200","ZEB","miR145","GRHL2","miR34","Ecad","OVOL2","OCT4","SNAIL","KEAP1"
"ZEB",-0.131078328144958,-0.124800388092171,-0.0745752129695417,-0.0327311441582746,-0.0255119896073835,-0.010707325588718,0.0255119896073835,0.0321224585607425,0.0325957697960961,0.0830069401184192,0.124666151324081
"OVOL2",-0.00670349450719517,-0.040050278384726,-0.0379988038902983,0.0386292107012281,0.0380582215967748,0.0334880957251216,-0.0380582215967748,-0.0740492985182498,-0.0377070354017366,-0.0589053480032908,0.0400025304935912
"miR145",0.189569610732292,0.149962679967218,-0.03723307705944,0.0482792832996783,0.0371905620610934,0.0220448588712898,-0.0371905620610934,-0.0363019114026157,-0.147456626522875,-0.0971064688991811,-0.149854211047735
"SNAIL",-0.00759531562241865,-0.0259047835729279,-0.0326266539935633,0.0332277840536495,0.0325193359232444,0.0668124528823617,-0.0325193359232444,-0.0390055109906016,-0.0330572241722998,-0.0889923973469331,0.0257725024070291
"KEAP1",-0.107991827854985,-0.0259931230865408,-0.0325768024695049,0.0338242423889825,0.0328683476590093,0.0670737472707916,-0.0328683476590093,-0.0398262330916826,-0.0315236288920499,0.0112820012510689,0.0259459755146407
"GRHL2",0.131007372610426,0.124666151324081,-0.0255119896073835,0.0325957697960961,0.0253450254758848,0.0106145956183916,-0.0253450254758848,-0.0320353367486089,-0.0325296103518354,-0.0831100025448031,-0.124747850670486
"Ecad",0.0236031134607021,0.0988437861108574,-0.0242082417150947,0.0301544985065755,0.0241231031283953,0.0997241200601524,-0.0241231031283953,-0.0312930993742783,-0.0296919134725619,0.0106524545408783,-0.0989193338318345
"miR200",0.230991381622933,0.125990445585233,-0.0224877432371406,0.0296468368879456,0.0224176510389414,-0.000923330884038244,-0.0224176510389414,-0.0311895236569606,-0.0292589392929107,-0.0650936567578576,-0.226019161963141
"OCT4",-0.264761014240768,-0.238744531879074,0.0310526566590166,-0.140079071245129,-0.0308204894986611,-0.0115254244857258,0.0308204894986611,0.0334610303472443,0.141201057399343,0.0802110800287405,0.238424019058562
"NRF2",0.00739171874423745,0.0257725024070291,0.0325193359232444,-0.0330572241722998,-0.0325768024695049,-0.0669247159742193,0.0325768024695049,0.0386940197973071,0.0338242423889825,-0.0109443915279088,-0.0259931230865408
"miR34",0.00739171874423745,0.0257725024070291,0.0325193359232444,-0.0330572241722998,-0.0325768024695049,-0.0669247159742193,0.0325768024695049,0.0386940197973071,0.0338242423889825,-0.0109443915279088,-0.0259931230865408
