"","NRF2","SNAIL","ZEB","miR200","GRHL2","Ecad","miR145","OVOL2","miR34","KEAP1","OCT4"
"NRF2",0.129952315492898,-0.0242374173784947,-0.138456552764001,0.105905886404582,0.0925079442753709,0.0925079442753709,0.0984769120940086,0.0647335537240888,0.0315681354008092,-0.140749245722129,-0.145073268757479
"miR34",0.129952315492898,-0.0242374173784947,-0.138456552764001,0.105905886404582,0.0925079442753709,0.0925079442753709,0.0984769120940086,0.0647335537240888,0.0315681354008092,-0.140749245722129,-0.145073268757479
"miR200",0.249484590811127,-0.059136470671573,-0.0260274789867258,0.0777302841735663,0.100535485672443,0.100535485672443,0.101459748369919,0.0946251216202972,-0.0769260911255845,-0.118469252298387,-0.023554395383107
"Ecad",0.252463737317358,-0.0909196582173096,-0.0235796731305574,0.136586461915997,0.0999868247718402,0.0999868247718402,0.100931161051208,0.0948549917235315,-0.0949949872671566,-0.0762909863850639,-0.0211488481260384
"ZEB",-0.169837488200311,-0.0718469522983287,-0.0112308188509332,-0.0103718286374961,-0.00827408406946335,-0.00827408406946335,-0.00819696742921995,-0.0079661148909711,0.00724691817668116,0.0737955054464964,0.0916604684184941
"miR145",0.196741329515227,-0.00818226410691581,-0.00958582674250558,0.0771658891662473,0.0926743051779536,0.0926743051779536,0.0932184892694662,0.0928710529098598,-0.0873889422152304,-0.011291879988108,-0.106650721231705
"GRHL2",0.138617053006366,0.00217675206275747,-0.00827408406946335,0.0737955054464964,0.0911861688181535,0.0911861688181535,0.0916604684184941,0.0920861845884208,-0.0880518143191144,-0.00827262962950292,-0.00545471254684345
"OVOL2",-0.0164383186214402,0.0331243424919801,-0.00751133886806218,-0.0221859247651694,0.0901673103475631,0.0901673103475631,0.090498184431467,-0.0083984276067261,-0.0922023011210911,0.0875633983711963,-0.00471864465727069
"KEAP1",-0.210476047080459,0.0663035888842341,0.0925079442753709,-0.140749245722129,-0.138969645839113,-0.138969645839113,-0.145073268757479,-0.112140420049874,0.0146528567218222,0.104587058074792,0.0950732687574793
"SNAIL",-0.113223438669009,-0.0360027848971058,0.0943590466315396,-0.140568113289589,-0.138456552764001,-0.138456552764001,-0.144817290292006,-0.111134414572478,0.0136210609275273,0.105905886404582,0.0984769120940086
"OCT4",-0.305679851796655,-0.0216431345226373,0.0967648784208617,-0.114903196489671,-0.0148418938719866,-0.0148418938719866,-0.115002581309752,-0.0108419505361661,0.00379317938907663,0.17941368600016,0.199390263334101
