"","KEAP1","ZEB","OVOL2","GRHL2","Ecad","miR34","miR145","OCT4","SNAIL","miR200","NRF2"
"NRF2",-0.0176256173435789,-0.102155956066306,0.072061736984925,0.0927068139597467,0.0927068139597467,0.12928020197341,0.0832512722067021,-0.0927910612766925,-0.0781265781468675,0.0167872587614345,-0.039510160433054
"miR34",-0.0176256173435789,-0.102155956066306,0.072061736984925,0.0927068139597467,0.0927068139597467,0.12928020197341,0.0832512722067021,-0.0927910612766925,-0.0781265781468675,0.0167872587614345,-0.039510160433054
"ZEB",-0.105891738605602,-0.0663739586340663,-0.0308437733636063,-0.0250392570054489,-0.0250392570054489,-0.0226012533975768,-0.00695504612203459,0.0157439662511609,0.038025697015177,0.108122625846717,0.13899915028043
"miR200",0.00521149681026564,-0.036071020201227,0.0482658087441702,0.0456736513545133,0.0456736513545133,0.0471385027161527,0.0238897241041787,-0.0142233160359088,-0.0256301731662153,-0.102560017916803,-0.0328134158556477
"OVOL2",0.0887197137598387,-0.0344091427647846,-0.0463110827428842,0.0478910203643093,0.0478910203643093,0.0486778922618281,0.038591462030751,-0.0249484386747224,-0.030148935429062,-0.0854887731263833,-0.0571609397681798
"GRHL2",0.108649091546779,-0.0250392570054489,0.0439595661720967,0.036364031028133,0.036364031028133,0.0365478409346688,0.0157439662511609,-0.00439762156045631,-0.0187971928926799,-0.105891738605602,-0.128332168255832
"miR145",0.0142558852084971,-0.0113495657396982,0.0320849138915107,0.0205186337164567,0.0205186337164567,0.021172918494538,-0.0879871184862718,-0.00288273990887316,-0.0171427408779635,-0.0119613503732864,-0.091821112712338
"Ecad",0.127209354138113,-0.0107046555963145,0.0308564476871719,0.0178279173501694,0.0178279173501694,0.0216437641715168,0.00407419204285408,0.00308227054217994,0.077798004914219,-0.124968105082459,-0.216913036685317
"OCT4",0.071471080338637,0.00299575300956648,-0.00190754673538682,-0.00350011615102833,-0.00350011615102833,-0.00665348247938463,0.0688558654680572,-0.0694049225222467,0.0216348539759016,-0.0713545302220869,-0.080950622619639
"KEAP1",0.0174841746278788,0.0927068139597467,-0.0860500496218863,-0.104925207810794,-0.104925207810794,-0.142288505145648,-0.0927910612766925,0.0805211226263858,0.0632042283831944,-0.0176256173435789,-0.0702552514600174
"SNAIL",0.0167872587614345,0.0948685480532235,-0.0829186209402968,-0.102155956066306,-0.102155956066306,-0.139799914051598,-0.0906001783987674,0.0832512722067021,-0.0348527728855808,-0.0177770867959188,0.0316377478100476
