"","KEAP1","ZEB","OVOL2","miR145","GRHL2","Ecad","miR34","OCT4","SNAIL","miR200","NRF2"
"NRF2",-0.0270852129203985,-0.086001145954637,0.0684324220140583,0.0891985684284141,0.0831196091349999,0.0831196091349999,0.122834895326214,-0.0940403709212233,-0.0719561502595115,0.0258644451604338,-0.0247386519365174
"miR34",-0.0270852129203985,-0.086001145954637,0.0684324220140583,0.0891985684284141,0.0831196091349999,0.0831196091349999,0.122834895326214,-0.0940403709212233,-0.0719561502595115,0.0258644451604338,-0.0247386519365174
"ZEB",-0.090399241285458,-0.0845757894189164,-0.0259391928090912,-0.0204710039187257,-0.0140129525504381,-0.0140129525504381,-0.012970515978591,0.0230743570375428,0.0284953860255475,0.0920676125460052,0.112199313712255
"OVOL2",0.0838774453160385,-0.0334098343454054,-0.0554983348486967,0.037177029181358,0.0365054968528326,0.0365054968528326,0.0361355512968877,-0.031549174316237,-0.0357734602301744,-0.0806146727551599,-0.0551244930434174
"miR145",0.00292547173707452,-0.0253553542464009,0.0334377776060997,0.0387026976947225,0.0281660680259843,0.0281660680259843,0.0275432544470083,-0.13351051967719,-0.0240410717400937,3.18908895802217e-06,-0.0928422878602827
"miR200",-0.00978379941829863,-0.0219612272747647,0.0326356443678105,0.0308722106651616,0.0236272649088834,0.0236272649088834,0.0288510187036946,-0.0277224821934782,-0.028450187845578,-0.0879476067270063,-0.011736107007796
"Ecad",0.115346714774311,-0.00177705952349372,0.0191966246937576,0.00985152147831632,0.00283656193575368,0.00283656193575368,0.00803380108021835,-0.00783791603613945,0.0756727853033504,-0.113541963662081,-0.202978037299562
"GRHL2",-0.0928297968410136,0.0140129525504381,-0.0288854940921579,-0.0230743570375428,-0.0162295453306788,-0.0162295453306788,-0.0167631717649412,0.019038630937642,0.0215018642352059,0.090399241285458,0.108722492520202
"OCT4",0.0732368564597286,0.0271144559085894,-0.0286749488048615,-0.132262318341837,-0.0235358793334553,-0.0235358793334553,-0.0225664898849566,0.138683898671272,0.0372679495541569,-0.0693907026135748,0.00517709720152343
"KEAP1",0.0260008187666974,0.0831196091349999,-0.0738743504289597,-0.0940403709212233,-0.0873867705450184,-0.0873867705450184,-0.127667767372201,0.0866784077310393,0.065541565519471,-0.0270852129203985,-0.0794621118387144
"SNAIL",0.0258644451604338,0.0841000829947024,-0.0721080180949327,-0.0925133626442095,-0.086001145954637,-0.086001145954637,-0.126407503131801,0.0891985684284141,-0.0332482323784995,-0.0269272559071381,0.021616833137739
