"","SNAIL","ZEB","GRHL2","Ecad","OVOL2","miR200","miR34","miR145","OCT4","KEAP1","NRF2"
"OVOL2",0.102159133487366,-0.0971956265238343,0.0995604512416002,0.0995604512416002,-0.0275628049146671,-0.0317327170675992,0.0873646764145723,0.0880449896849642,-0.0854163591583762,0.0355790749645698,-0.0689268705632144
"miR34",0.0412683971071954,-0.0900327183094896,0.0878407800449793,0.0878407800449793,0.0712720896748568,-0.0219778318889171,-0.0155222354430947,0.0792305635734978,-0.0815795568620884,0.0185214412432339,-0.0639571881791462
"SNAIL",-0.0589212362682787,-0.0885660380151315,0.0900327183094896,0.0900327183094896,0.0740415295570565,-0.019601332322252,-0.0138647039103733,0.080854590269827,-0.0792305635734978,0.0219778318889171,-0.0600549146806732
"KEAP1",0.0407282215501394,-0.0878407800449793,0.0909947689132539,0.0909947689132539,0.0753261437289108,-0.0185214412432339,-0.0131590248831628,0.0815795568620884,-0.0778985752669963,0.0237548217241391,-0.158010652445376
"ZEB",-0.0827441104660905,-0.0567194525276735,-0.0403209987901532,-0.0403209987901532,-0.0400570294893622,-0.0291672189248515,-0.0242493190635503,-0.0204736964128071,0.0237122676926155,0.0339230358514687,0.0493256040703086
"Ecad",0.102092861763194,-0.0476237408228312,0.0517387725133051,0.0517387725133051,0.0490992022784527,0.0421273433250524,0.0411183683790464,0.0310494686055305,-0.0264780400341019,-0.0354707496878493,-0.145084512720587
"GRHL2",0.082272967945478,-0.0403209987901532,0.0446447940575837,0.0446447940575837,0.0455536238185242,0.0339230358514687,0.0275968709923336,0.0237122676926155,-0.0189487877058474,-0.026958166570423,-0.0415441471166662
"OCT4",0.0649842268925641,-0.0273952757940252,0.0229520766906708,0.0229520766906708,0.0281586463600423,-0.0886287285003813,0.00802494668868716,0.0469012857776798,-0.0517950551737171,0.0814900338616866,-0.143023176850472
"miR145",0.0646345434372241,-0.00631184417609804,0.00868796019480464,0.00868796019480464,0.0215020432369032,0.00719078684836412,0.00275847048082655,-0.092410392402145,-0.00504072020743017,-0.00341106219254435,-0.0233463164934151
"miR200",-0.0675343136472082,0.0491226396567332,-0.0528590929915043,-0.0528590929915043,-0.0498476940012177,-0.0274560073870911,-0.0213184513058167,-0.0308214763303605,0.0266787300153877,-0.07858400409946,0.150377293891044
"NRF2",-0.0412683971071954,0.0900327183094896,-0.0878407800449793,-0.0878407800449793,-0.0712720896748568,0.0219778318889171,0.0155222354430947,-0.0792305635734978,0.0815795568620884,-0.0185214412432339,0.0639571881791462
