"","NRF2","ZEB","miR200","OVOL2","miR145","GRHL2","miR34","Ecad","OCT4","SNAIL","KEAP1"
"ZEB",-0.109226380823621,-0.0819157149584104,-0.0283462646296016,-0.0258944317344452,-0.0211821898580215,-0.0148898232950466,-0.0141652515967059,0.0148898232950466,0.0261077339588234,0.0301204591128921,0.034438057010067
"NRF2",-0.0144693918214621,-0.0393789591569922,-0.0633560050019836,0.0344300950430929,0.0298607019561808,0.0299790740900847,-0.0656580902385635,-0.0299790740900847,-0.0442902321575231,0.035731886462678,0.0455445621427396
"SNAIL",-0.0140282652520695,-0.0325974791896987,-0.0504973633927148,0.0457853649077358,0.0402648547185093,0.0393789591569922,-0.0544251773415153,-0.0393789591569922,-0.0298607019561808,-0.0507620031285567,0.0633560050019836
"miR145",0.168687467989794,-0.0258035958451816,0.0404797655775359,0.0356322228266885,0.041292789250089,0.0308817762032523,0.0277138949959761,-0.0308817762032523,-0.133349431192098,-0.0152626161060052,-0.0307592816392797
"miR200",0.207909809715224,-0.0209672837820951,0.0255238266677462,0.0332217197254915,0.0312181120205322,0.0239812483046593,0.0107887026679935,-0.0239812483046593,-0.0264857613611062,0.0378675664877403,-0.119713546204455
"GRHL2",0.10946289927206,-0.0148898232950466,0.034438057010067,0.0312801437572553,0.0261077339588234,0.0193287662393727,0.0194601329023438,-0.0193287662393727,-0.0192602314778442,-0.0238336511034693,-0.0259821746571258
"Ecad",0.0102184355512554,-0.0122747161921523,0.0892697776599613,0.0246607553120018,0.0210055602289005,0.0135896343645107,0.107778741544639,-0.0135896343645107,-0.0188831112493086,-0.0856208517173205,-0.0866759725730814
"OCT4",-0.24243124606723,0.0287791354957435,-0.126253899904229,-0.0278806562009578,-0.131662829746765,-0.0230229910717582,-0.0137767770598555,0.0230229910717582,0.140519358751301,-0.0161622446199272,0.137267885918215
"KEAP1",-0.0860216065418767,0.0299790740900847,0.0455445621427396,-0.0501349891263654,-0.0442902321575231,-0.043045599401508,0.0500098040984741,0.043045599401508,0.0245049560839035,-0.0545029870703755,-0.070014151958864
"miR34",0.0144693918214621,0.0393789591569922,0.0633560050019836,-0.0344300950430929,-0.0298607019561808,-0.0299790740900847,0.0656580902385635,0.0299790740900847,0.0442902321575231,-0.035731886462678,-0.0455445621427396
"OVOL2",-0.0897521435116949,0.0797821481418879,-0.0996319475167783,-0.0940417420241896,-0.089517486988678,-0.0825331879517513,-0.0837975815402997,0.0825331879517513,0.0852858227639086,0.0529673577083499,0.0944062060981354
