"","ZEB","NRF2","OVOL2","miR200","OCT4","miR34","GRHL2","Ecad","miR145","KEAP1","SNAIL"
"ZEB",-0.0967483547199379,-0.0932892318321518,-0.0178200413492338,-0.0116698920268571,-0.0111335023058368,-0.0106528075397261,0.000768571480629086,0.000768571480629086,0.00516661695750818,0.017390935238312,0.0835832591744103
"OVOL2",-0.0292118764167025,-0.0177928610934855,-0.0540520564853505,-0.0594579546063101,0.026392640426674,0.0382974132037893,0.0365974973317352,0.0365974973317352,-0.037277756344971,0.0699041321223587,-0.0525276884820799
"SNAIL",-0.0285154954643644,-0.0195938133677432,0.0455085544982175,-0.0572275243219101,0.0251845742474257,-0.05664921601409,0.0375506549083546,0.0375506549083546,-0.038406672875531,0.0700040603799314,-0.0451295325169407
"KEAP1",-0.0254416326605917,-0.120313548140139,0.0503828569732725,-0.0528103554233201,0.0193501772449141,-0.0519154080730435,0.0417416591646998,0.0417416591646998,-0.0429698091467546,0.0757712229386431,0.0599218942789425
"miR145",-0.00873972548202128,0.151666247246094,0.0284308875810361,0.0261505553265416,-0.207016297202164,0.0269413935213512,0.0153484457805711,0.0153484457805711,0.0974276255905663,-0.0168973221183647,-0.0903409172486948
"GRHL2",-0.000768571480629086,-0.092319506193552,-0.0242591352823876,-0.017390935238312,-0.00319436899455664,-0.016726620596106,-0.00467215625268889,-0.00467215625268889,0.0111335023058368,0.0097520463494231,0.0771197727197577
"Ecad",-0.000209414150881175,0.197155055297008,0.0186519043678276,0.076145947561327,0.00645728058602388,0.105940386178575,0.00177028824037129,0.00177028824037129,-0.00879741664044565,-0.0739550636529916,-0.116653011320729
"miR200",0.00255815799220043,0.193873915337752,0.024450323208805,0.0217331485514234,0.000952815210372149,0.0215937077457226,0.00391728277989209,0.00391728277989209,-0.0103709688178198,-0.112630056754735,-0.0654862897064308
"OCT4",0.0107194553486808,-0.228890591157476,-0.0164655079656539,-0.11504750551498,0.156898435769747,-0.0147068628694737,-0.00201718971742629,-0.00201718971742629,-0.170051933024462,0.127576643044118,0.087351859597845
"NRF2",0.0375506549083546,0.0174221133338104,-0.0312082769878817,0.0700040603799314,-0.0429698091467546,0.070246257551434,-0.0254416326605917,-0.0254416326605917,0.0251845742474257,-0.0528103554233201,-0.0402054864463969
"miR34",0.0375506549083546,0.0174221133338104,-0.0312082769878817,0.0700040603799314,-0.0429698091467546,0.070246257551434,-0.0254416326605917,-0.0254416326605917,0.0251845742474257,-0.0528103554233201,-0.0402054864463969
