"","NRF2","ZEB","miR34","OVOL2","miR145","GRHL2","Ecad","miR200","KEAP1","OCT4","SNAIL"
"OVOL2",0.0268518546709886,-0.0899452070199738,0.104082424840663,-0.0270183025279011,0.104706408783628,0.0975387899076743,0.0975387899076743,-0.0299309269691607,0.0380003205709433,-0.0945624804892216,-0.0874086526324987
"ZEB",-0.12511429240538,-0.0648538328277711,-0.03548579270732,-0.0302120496120544,-0.0284902506406706,-0.0246444854082453,-0.0246444854082453,-0.020513680732046,0.0318151381598138,0.042600424544659,0.104370977139476
"SNAIL",0.0619366817693861,-0.0333631059880763,-0.0425900999450778,0.0552341485569731,0.0514093293299124,0.0504164584001777,0.0504164584001777,0.0963825917944241,-0.0779134041832395,-0.0285320582880139,-0.0582135642275172
"KEAP1",-0.0399849928565893,-0.0289814366449851,-0.0369179042085446,0.0616366960374025,0.0574869959677838,0.0560951392688918,0.0560951392688918,0.10131390425678,-0.0718466718192502,-0.0211373027162501,0.0464524354714368
"GRHL2",0.120880612178322,-0.0246444854082453,0.0491541903334327,0.0451574004753524,0.042600424544659,0.0378807108673967,0.0378807108673967,0.0318151381598138,-0.0176811512317092,-0.0250020123713212,-0.0920771019922438
"Ecad",0.203448653963559,-0.0220297151075753,0.129243500981121,0.0354169200828404,0.0340265545084075,0.0280650949202704,0.0280650949202704,0.0281200315776303,-0.0217488404418962,-0.0259993436240538,-0.124647103234192
"miR145",0.153005166233971,-0.00992819507931599,0.0322677351131656,0.0328923451058,0.0309649443170161,0.0211285351993028,0.0211285351993028,0.0270343026141318,-0.0151945028644447,-0.116197580864555,-0.0908797104368155
"OCT4",-0.119338940221891,-0.00184797669242329,-0.00155417887508766,0.00208342343258837,-0.136457567941015,0.0033290430602081,0.0033290430602081,-0.132809187611969,0.134295201597983,0.138438947745264,0.0262064823642043
"miR200",-0.0275064653956044,0.0335998422071175,-0.0375154691133427,-0.0472221140301636,-0.0488721388613502,-0.0438279114366425,-0.0438279114366425,-0.0365362724847893,-0.0743855232460425,0.0352336594199227,0.0144799871357591
"NRF2",-0.0686893115623959,0.0504164584001777,0.0645738548153149,-0.0309208450512813,-0.0285320582880139,-0.0289814366449851,-0.0289814366449851,-0.0779134041832395,0.10131390425678,0.0574869959677838,-0.0222120573485469
"miR34",-0.0686893115623959,0.0504164584001777,0.0645738548153149,-0.0309208450512813,-0.0285320582880139,-0.0289814366449851,-0.0289814366449851,-0.0779134041832395,0.10131390425678,0.0574869959677838,-0.0222120573485469
