"","KEAP1","SNAIL","ZEB","OVOL2","miR145","GRHL2","Ecad","miR34","NRF2","OCT4","miR200"
"ZEB",-0.118542440446843,-0.0799769077120046,-0.0610814109365028,-0.0301738930454876,-0.0294995083249181,-0.0258328635914465,-0.0258328635914465,-0.0140716278628424,0.0331691769997467,0.0465983316093084,0.115729860544005
"miR34",0.0810776141933258,0.0244969735378516,-0.0428491626012571,0.0315808206370957,0.0271136870836624,0.0271607954721215,0.0271607954721215,-0.0458894577476504,0.0213253344815177,-0.0475834857413805,-0.0777094718194473
"miR200",0.0216930094482029,0.0586063232067428,-0.0340250653843597,0.0503582074749207,0.0526247450345697,0.0476499103727676,0.0476499103727676,0.0179410701218934,-0.120711921518811,-0.0347038761439569,-0.124784806136247
"OVOL2",0.0864797249104738,0.0535703713062665,-0.0334730408813608,-0.043162337408107,0.0526057362608523,0.0517380438522462,0.0517380438522462,0.0454446060308208,0.0361015757520754,-0.0287756923067026,-0.0904427998746629
"miR145",0.0227926444133052,0.0877156183896536,-0.032497023750403,0.0517283518491432,0.0567694002278354,0.0500462702901546,0.0500462702901546,0.0337999039355761,-0.0942496833868375,-0.133721524300661,-0.0266891817516448
"SNAIL",0.0777094718194473,-0.0814659426020557,-0.0301549679978229,0.0490866257002434,0.0437024894566694,0.0428491626012571,0.0428491626012571,-0.0346565448506023,0.035102056571779,-0.0271136870836624,-0.0805147448204052
"GRHL2",0.114968094041614,0.0740140101855029,-0.0258328635914465,0.0482397888161197,0.0465983316093084,0.041982325276057,0.041982325276057,0.0256350551625456,-0.0187888553346569,-0.0254603891680249,-0.118542440446843
"Ecad",0.141504992462891,0.0900792264818951,-0.0247801538526903,0.0480470340344168,0.0454399279034984,0.041505156217651,0.041505156217651,0.0348383351963378,-0.107647851316497,-0.0236167986517977,-0.145122888878571
"KEAP1",-0.077258660869422,-0.017407169351491,0.0271607954721215,-0.0531293962397253,-0.0475834857413805,-0.046535298520094,-0.046535298520094,0.0318166453141823,0.0620352765386678,0.0225834857413805,0.0810776141933258
"NRF2",-0.0810776141933258,-0.0244969735378516,0.0428491626012571,-0.0315808206370957,-0.0271136870836624,-0.0271607954721215,-0.0271607954721215,0.0458894577476504,-0.0213253344815177,0.0475834857413805,0.0777094718194473
"OCT4",0.0402931564704919,-0.0794659196096807,0.0497498134059715,-0.029641426170409,-0.135243033257018,-0.0302717892285638,-0.0302717892285638,-0.0131761338759795,0.181803922006955,0.160475785703902,-0.044372410549746
