"","ZEB","miR200","OVOL2","miR34","miR145","GRHL2","Ecad","OCT4","NRF2","KEAP1","SNAIL"
"ZEB",-0.0914775082850684,-0.0281170713852787,-0.019981131502866,-0.0139276728642246,-0.00948484579856766,-0.0037583835837362,-0.0037583835837362,0.0166284467566016,0.0241531688966096,0.0355192703113846,0.0758860291535542
"NRF2",-0.038575239157045,-0.0641490401535774,0.0311806549962747,-0.0658626787803886,0.0255363375304084,0.0258258753938071,0.0258258753938071,-0.0442803452005906,-0.0523518588057964,0.0444255514052321,0.035273425487607
"OVOL2",-0.0299164582241577,-0.0513094069186093,-0.0533584543218287,0.0413992785986262,0.03831919796973,0.037616992983516,0.037616992983516,-0.0268307897994292,-0.0329904475843659,0.063209242453651,-0.0762862184644173
"SNAIL",-0.0291261385846819,-0.0495661819681101,0.0462398383230006,-0.0541939209384814,0.0394555069779427,0.038575239157045,0.038575239157045,-0.0255363375304084,-0.0318225069225252,0.0641490401535774,-0.0598593178752249
"miR145",-0.0137417097795702,0.0415350243232743,0.0318992325560932,0.0279633759907044,0.031029904209449,0.0211157000483595,0.0211157000483595,-0.120092614930959,-0.0152852318205553,-0.0301791628297407,-0.0770777669019361
"miR200",-0.0107292678242439,0.0265040889551747,0.0295688126640892,0.0110278629041741,0.0221920861145617,0.0153607446129428,0.0153607446129428,-0.0152254453077347,0.0774199743738832,-0.119353710856199,0.0014727180802034
"GRHL2",0.0037583835837362,-0.0355192703113846,-0.0277191324532858,-0.0197140230125925,-0.0166284467566016,-0.0102584699444939,-0.0102584699444939,0.00700224761667439,0.013628097941075,0.0255111003767441,0.073868950237182
"Ecad",0.00506111788608896,-0.0377840906900616,-0.0294584073019939,-0.0247368432769262,-0.0185733054261323,-0.0134709182834024,-0.0134709182834024,0.00624677481388745,-0.0830538933317804,0.024848642020541,-0.0399894212958156
"OCT4",0.0195362907785229,-0.125773665533206,-0.0213085559152004,-0.0135310718152916,-0.119321688691434,-0.0112823479396789,-0.0112823479396789,0.131806768662788,-0.0673625757575758,0.138623315882856,0.0261395501186693
"KEAP1",0.0258258753938071,0.0444255514052321,-0.051377879247553,0.0498737496767053,-0.0442803452005906,-0.0430270415745651,-0.0430270415745651,0.0194337194337194,-0.0750894941674715,-0.0708753392411585,-0.0424982735632316
"miR34",0.038575239157045,0.0641490401535774,-0.0311806549962747,0.0658626787803886,-0.0255363375304084,-0.0258258753938071,-0.0258258753938071,0.0442803452005906,0.0523518588057964,-0.0444255514052321,-0.035273425487607
