"","ZEB","OVOL2","miR200","miR34","Ecad","GRHL2","miR145","OCT4","SNAIL","KEAP1","NRF2"
"ZEB",-0.0672743885748726,-0.0171660507807853,-0.0159451492979641,-0.00644442460408959,-0.00626763772827207,0.00626763772827207,0.00973987681584963,0.0146483352012284,0.0434630272491232,0.0484879772192119,0.127045078437955
"OVOL2",-0.0238212117567144,-0.0376614585202239,-0.036655140370951,0.0590427387849696,0.0557522872172017,-0.0557522872172017,0.0449225314663742,-0.0157318049301335,-0.0488960062381541,0.0757076099979869,0.012283708292084
"SNAIL",-0.0229736855270906,0.0628369477828392,-0.0349962746816609,-0.0378369136939854,0.0570650591983906,-0.0570650591983906,0.0459627652022783,-0.0147948007973839,-0.0392343174326954,0.0766830876178467,0.0145495317759256
"miR200",-0.0171968982162119,0.0508367680390507,0.0379152450969033,0.0269264101246063,0.0424246978603592,-0.0424246978603592,0.020161021963336,0.00272493614372375,0.0469243453388815,-0.107236581365689,-0.220406197190836
"Ecad",-0.00697299377349698,0.051633102980886,0.0518191641444738,0.0429783262645375,0.0398459480824555,-0.0398459480824555,0.0180996140531817,0.0116963043141653,0.0808174949730945,-0.0118544197475964,-0.213190750349677
"GRHL2",-0.00626763772827207,0.0495278439060823,0.0484879772192119,0.0374811456723389,0.0366263227418019,-0.0366263227418019,0.0146483352012284,0.0128409138890793,-0.0139871733033046,-0.0116007223172511,-0.120067784209006
"OCT4",0.00143827104447997,-0.00183161226556909,-0.0696696238846026,0.000937593111601316,-0.00293534894056515,0.00293534894056515,0.0692531971151889,-0.0706616478194142,-0.0212667996231489,0.0678048220198007,0.081245622619639
"miR145",0.00597680398956542,0.0357794765933144,0.022068858427426,0.0182230408152441,0.0186204844983178,-0.0186204844983178,-0.0911454973471746,0.013276313260863,-0.00366271196243541,0.00769334432601583,-0.145988937498945
"KEAP1",0.0182258834328542,-0.0687223276285502,0.0290143127980202,0.0320743186753039,-0.0626732727782027,0.0626732727782027,-0.0505090865116697,0.0100182889656574,-0.066150265995604,-0.0831868729111744,0.0842068759813413
"NRF2",0.0570650591983906,-0.021351984312261,0.0766830876178467,0.0775714445002986,-0.0182258834328542,0.0182258834328542,-0.0147948007973839,0.0505090865116697,-0.0227336555972246,-0.0290143127980202,-0.00559126913595274
"miR34",0.0570650591983906,-0.021351984312261,0.0766830876178467,0.0775714445002986,-0.0182258834328542,0.0182258834328542,-0.0147948007973839,0.0505090865116697,-0.0227336555972246,-0.0290143127980202,-0.00559126913595274
