"","miR145","GRHL2","Ecad","miR34","OVOL2","miR200","KEAP1","SNAIL","NRF2","ZEB","OCT4"
"miR145",0.626275492264294,0.613736032216408,0.613736032216408,0.565573637159272,0.324336824516602,0.305089748834982,0.285456874408616,-0.142034519370332,-0.523546670073378,-0.637908170720825,-0.685992282554247
"miR200",0.602503686100057,0.589616934373083,0.589616934373083,0.519007038763642,0.311295928801639,0.28880675452585,0.37170136541893,-0.0618856047684336,-0.598368500894614,-0.612386115372706,-0.566832623260647
"GRHL2",0.602543193928794,0.589410662595981,0.589410662595981,0.54397209199221,0.309472255932314,0.287322739640796,0.269614406307463,-0.143091866188552,-0.497301354286087,-0.611835672671403,-0.565758542919863
"Ecad",0.587809970572356,0.575182318591439,0.575182318591439,0.421607499717649,0.306307656353879,0.307418430080721,0.290453769625756,-0.0185105714108606,-0.588911044399485,-0.596107491233573,-0.552326977375077
"SNAIL",0.351090637911772,0.341246167780513,0.341246167780513,0.163807262428841,0.214870696510764,0.222656032725924,0.213410035371547,-0.0906261051080408,-0.280306832775912,-0.351809332130472,-0.331491082850593
"KEAP1",0.317013614010708,0.30868021914722,0.30868021914722,0.137013178392489,0.199305337409344,0.207688605749544,0.19415725261423,0.0191402057950887,-0.345676647678249,-0.322700892351566,-0.287565761249972
"OVOL2",0.184997571439626,0.179301097532753,0.179301097532753,0.173815437809158,0.0150082220371576,0.00825320136342685,0.000258082258965073,-0.0950262339033439,-0.0889211150465541,-0.181065803415106,-0.171320074240626
"NRF2",-0.331491082850593,-0.322700892351566,-0.322700892351566,-0.146274408965195,-0.203322868453902,-0.213410035371547,-0.207688605749544,-0.00577086075795162,0.266462245059591,0.341246167780513,0.317013614010708
"miR34",-0.331491082850593,-0.322700892351566,-0.322700892351566,-0.146274408965195,-0.203322868453902,-0.213410035371547,-0.207688605749544,-0.00577086075795162,0.266462245059591,0.341246167780513,0.317013614010708
"ZEB",-0.62585882446092,-0.611835672671403,-0.611835672671403,-0.561776246294881,-0.318398281593648,-0.29656589995785,-0.287322739640796,0.153545340864641,0.524027938959692,0.535602823994569,0.602543193928794
"OCT4",-0.677141993033121,-0.566324676755415,-0.566324676755415,-0.511373278085633,-0.29691723701414,-0.379153655606594,-0.366828480781419,0.0886703882673902,0.581181627752939,0.602534748006716,0.643745000910896
