"","miR145","GRHL2","Ecad","miR34","miR200","OVOL2","SNAIL","KEAP1","NRF2","ZEB","OCT4"
"miR145",0.637303571692362,0.625333387626497,0.625333387626497,0.537492972910604,0.337461718092849,0.330909009244761,-0.129551771451484,-0.31190477191012,-0.541107872121236,-0.651385633835576,-0.694134320175167
"GRHL2",0.615240195891876,0.602689582359922,0.602689582359922,0.51216745966935,0.32399700483664,0.316929127383312,-0.12857279241844,-0.300692266274549,-0.516930253800483,-0.627129676781017,-0.575412210446954
"miR200",0.60609635697089,0.593463814884237,0.593463814884237,0.499571914105475,0.306445741774218,0.313577943965492,-0.055510918788967,-0.38510947298892,-0.604675455625806,-0.617386821300369,-0.568811640136134
"Ecad",0.570237877766481,0.55787549383701,0.55787549383701,0.456483438488104,0.271379573350578,0.297558648786031,-0.0284678119231543,-0.249730954195034,-0.571382553633221,-0.578242535744115,-0.534373932188249
"OVOL2",0.190173903505603,0.184653735705833,0.184653735705833,0.159489744696655,0.0232531746659818,0.0180611701223034,-0.0907132983476967,-0.0114594455556841,-0.0967010517093426,-0.186745238973807,-0.175082978744766
"SNAIL",0.165612215513151,0.160122141321764,0.160122141321764,0.150375957420239,0.0244037675423942,0.11297075446106,-0.10584362588039,-0.0161977738371531,-0.0816005079141337,-0.162360489645558,-0.154703798753789
"KEAP1",-0.153361516874594,-0.148300974010866,-0.148300974010866,-0.141047414544952,-0.0193894196674223,-0.108097914395685,0.0026207405792028,0.00538659081310827,0.167943337436829,0.149917724607208,0.135876854297907
"NRF2",-0.154703798753789,-0.149917724607208,-0.149917724607208,-0.143197723252637,-0.0161977738371531,-0.10495693557903,0.00788745226049922,0.0193894196674223,0.0755265343817279,0.160122141321764,0.153361516874594
"miR34",-0.154703798753789,-0.149917724607208,-0.149917724607208,-0.143197723252637,-0.0161977738371531,-0.10495693557903,0.00788745226049922,0.0193894196674223,0.0755265343817279,0.160122141321764,0.153361516874594
"ZEB",-0.640555201619253,-0.627129676781017,-0.627129676781017,-0.531557296464602,-0.334013624626975,-0.326647169518589,0.13575771585778,0.32399700483664,0.545548986061599,0.55346307536798,0.615240195891876
"OCT4",-0.682449565416303,-0.572031620993018,-0.572031620993018,-0.490677752063429,-0.399795231516775,-0.300020194223834,0.0767985528974557,0.387557469279013,0.58994465805597,0.610547352319573,0.647858971002361
