"","miR145","GRHL2","NRF2","miR34","miR200","OVOL2","SNAIL","KEAP1","ZEB","Ecad","OCT4"
"miR145",0.427593870245317,0.406790534304975,0.391699509950103,0.34168644337275,0.242748233283696,0.211446862600651,-0.226313197017779,-0.235030252474351,-0.410442100274081,-0.406790534304975,-0.516845387440192
"GRHL2",0.39156819006631,0.371824919874541,0.356412959390059,0.309684888839825,0.221459827127511,0.191581678884157,-0.204975097689311,-0.215434500330125,-0.37487057592843,-0.371824919874541,-0.383033621756684
"miR200",0.377571020426451,0.358496053204427,0.4470553579576,0.28639148484025,0.214458978021925,0.185861338597093,-0.163367641908095,-0.308438110787312,-0.361003197216936,-0.358496053204427,-0.369363107315512
"Ecad",0.376241067972066,0.358554938524633,0.234719589335584,0.287333508030506,0.182889117684704,0.187605268906872,-0.0765358004330487,-0.176836905815318,-0.360882059894418,-0.358554938524633,-0.368105013550298
"OVOL2",0.123863113697428,0.117039552329266,0.0493469101646835,0.102446924519121,-0.0104010379007221,-0.0186561943008057,-0.0938412727802715,0.0146824321391433,-0.116231471521185,-0.117039552329266,-0.119614212551173
"SNAIL",0.110760543451553,0.104400144403881,0.0425944724212366,0.106964272225591,-0.00255366550676162,0.0815784886712816,-0.107892287742216,0.00523121876133444,-0.104042417502818,-0.104400144403881,-0.108009338408913
"KEAP1",0.10920780437248,0.103008248995041,-0.0603642541337906,0.106015024931281,-0.00283380737730738,0.0816046838002535,-0.00587811069472581,0.00901013929621356,-0.102027596993981,-0.103008248995041,-0.102919460814198
"NRF2",-0.108009338408913,-0.102027596993981,-0.0409996302088172,-0.105610511412013,0.00523121876133444,-0.0791941651735187,0.00871403236927003,-0.00283380737730738,0.104400144403881,0.102027596993981,0.10920780437248
"miR34",-0.108009338408913,-0.102027596993981,-0.0409996302088172,-0.105610511412013,0.00523121876133444,-0.0791941651735187,0.00871403236927003,-0.00283380737730738,0.104400144403881,0.102027596993981,0.10920780437248
"ZEB",-0.395004616183149,-0.37487057592843,-0.361994794773218,-0.311724948187006,-0.222623212450958,-0.192151930745396,0.208317264944905,0.221459827127511,0.278307069317051,0.37487057592843,0.39156819006631
"OCT4",-0.494983699035613,-0.375976438135033,-0.461366057294254,-0.310291044102017,-0.322614985045878,-0.194093096908547,0.191065999911716,0.320895870826764,0.384342461671979,0.375976438135033,0.487750469147811
