"","ZEB","miR34","OVOL2","miR200","OCT4","GRHL2","Ecad","miR145","KEAP1","NRF2","SNAIL"
"SNAIL",-0.0952912202569714,-0.168426253294441,0.0859605297593697,-0.17244723128796,0.0834684837894807,0.106273436119604,0.106273436119604,0.0940209494921133,0.184174640857818,-0.121668063893751,0.367959435301999
"KEAP1",-0.0929658259069781,-0.164967730682016,0.0885717894534187,-0.169245974877527,0.0806046648151911,0.10841772095071,0.10841772095071,0.0957887138949457,0.185229001751643,-0.216961936308966,0.465719374159498
"ZEB",-0.0760786526154976,-0.0209664073147095,-0.0185646125556478,-0.0137558567180624,-0.00752986379181107,-0.00549668863132131,-0.00549668863132131,0.0100479764664416,0.0338849797045109,0.046501429511515,0.111485759935295
"OVOL2",-0.0269374233907335,0.0525974415013679,-0.0410302135660697,-0.0486851957845449,0.0181235117831796,0.0521186473954869,0.0521186473954869,0.0419190818943578,0.0760659586897388,-0.0291682722630698,-0.0468788070231476
"GRHL2",-0.00549668863132131,0.0418584696292495,0.0426973545166805,0.0338849797045109,-0.0131118828175174,0.0275992852114353,0.0275992852114353,0.00752986379181107,-0.00994707120777887,-0.0195383263894714,-0.097778457226226
"Ecad",-0.00531553961287581,-0.149306745136142,-0.029240588075284,-0.109332776041458,0.0175200235057776,-0.01008508473676,-0.01008508473676,0.0032343092200633,0.0925024226460075,-0.108886005117241,0.280024149783705
"miR200",-0.00260186086550825,0.0554662441891167,0.0410705040347383,0.0450465244522814,-0.0156311018325218,0.0245191520716332,0.0245191520716332,0.00480334347391727,-0.12120235866306,0.0859825760652954,-0.152544783900678
"OCT4",0.00612404744665742,-0.00788381263648343,-0.00539343375010218,-0.0440499168539406,-0.0338156491761723,0.0144107375985751,0.0144107375985751,-0.0137870027211712,0.0666897769938008,-0.0270572520284815,0.123995669291906
"miR145",0.0191855010186979,0.00395071230118335,0.0185446161857101,-0.0824052300797873,-0.0191564078299401,-0.00555708210424749,-0.00555708210424749,-0.10649288793783,0.0970652217360243,-0.0698063988372986,-0.0680323687135615
"NRF2",0.106273436119604,0.180530856081207,-0.0714790210092989,0.184174640857818,-0.0957887138949457,-0.0929658259069781,-0.0929658259069781,-0.0834684837894807,-0.169245974877527,0.137311090700673,-0.458562048028505
"miR34",0.106273436119604,0.180530856081207,-0.0714790210092989,0.184174640857818,-0.0957887138949457,-0.0929658259069781,-0.0929658259069781,-0.0834684837894807,-0.169245974877527,0.137311090700673,-0.458562048028505
