"","NRF2","ZEB","miR200","miR34","OVOL2","GRHL2","miR145","OCT4","Ecad","KEAP1","SNAIL"
"NRF2",0.112605121490458,-0.105142977334252,0.117523638427789,0.136459366810655,0.0727229737362308,0.0944295712099597,0.0847014190324343,-0.0951041035961927,-0.0944295712099597,-0.131716902143042,-0.0978465494772209
"miR34",0.112605121490458,-0.105142977334252,0.117523638427789,0.136459366810655,0.0727229737362308,0.0944295712099597,0.0847014190324343,-0.0951041035961927,-0.0944295712099597,-0.131716902143042,-0.0978465494772209
"ZEB",-0.136142846587718,-0.0607002096688726,-0.0395373889382627,-0.0393910906234077,-0.0324127550592815,-0.0288621757665174,-0.0100072862960182,0.0203894585338606,0.0288621757665174,0.0550641084473397,0.108285023472346
"miR200",0.242111993106131,-0.0398840687032429,0.0603347635943602,0.0627996580324947,0.0517408506142893,0.0512120462737395,0.0283834974377646,-0.0169482763361355,-0.0512120462737395,-0.142980499212241,-0.0859568910968861
"OVOL2",-0.00763738751831874,-0.034765395509351,-0.0435849523094031,0.0529347283255637,-0.0444942944767423,0.0503328346062019,0.0405834036645185,-0.0250960297095069,-0.0503328346062019,0.0667214582248363,-0.0543879220656535
"GRHL2",0.134037832396611,-0.0288621757665174,0.0550641084473397,0.0533840431456628,0.0475957108647622,0.0421329455287374,0.0203894585338606,-0.00712448995959658,-0.0421329455287374,-0.0352315921074704,-0.0944893815406613
"miR145",0.158185838062887,-0.0143319620591252,0.0302495286035322,0.0359559792733424,0.0350051534497697,0.0250882566408249,-0.084372192394841,-0.00493326950670993,-0.0250882566408249,-0.0141377221788346,-0.0923828975632997
"Ecad",0.00589926666933287,-0.0135868338552528,0.041689406424875,0.0336737626484243,0.0335703556290673,0.0221290720540987,0.00754019797706895,0.00097680882565214,-0.0221290720540987,-0.0285524971660821,0.0358783699211876
"OCT4",-0.085095319589336,0.00303237306021347,-0.0751562646706286,-0.00678497491856937,-0.00194353737781979,-0.0035527477299757,0.0688081213763885,-0.0694049225222467,0.0035527477299757,0.0745152390296029,0.0224289361195385
"KEAP1",-0.208513468462635,0.0944295712099597,-0.131716902143042,-0.148658642944357,-0.0878069766580715,-0.107655121170204,-0.0951041035961927,0.0816071710808553,0.107655121170204,0.113942267536724,0.0885285211180041
"SNAIL",-0.110535219895616,0.0968283820766882,-0.129305785031813,-0.146899834353414,-0.08479184160733,-0.105142977334252,-0.0930736845125975,0.0847014190324343,0.105142977334252,0.117523638427789,-0.0103076856681647
