"","SNAIL","miR145","GRHL2","Ecad","OVOL2","miR200","ZEB","miR34","KEAP1","NRF2","OCT4"
"SNAIL",0.128328034718655,0.120977539834772,0.114588993105873,0.114588993105873,0.0937201922024446,-0.0982931168164221,-0.088883760072349,0.0904280998993705,0.122619167083265,-0.0917521463616681,-0.0925681961195329
"KEAP1",0.22684585263021,0.121858704269101,0.115637451323325,0.115637451323325,0.0952706525967292,-0.0968947958522017,-0.0866684611298449,0.0893078787660068,0.12475901084513,-0.189172456547936,-0.0888832441464021
"Ecad",0.260551513127993,0.104312502806895,0.10258053443006,0.10258053443006,0.0916110792633465,0.0528463931276355,-0.0464552861091817,-0.0462914808949429,0.000246866336815077,-0.143198197399714,-0.0422444755960111
"miR145",0.186499848077391,0.10230261859722,0.100914203967048,0.100914203967048,0.0924955859338791,0.0652499608719733,-0.0374959980999783,-0.059738217422313,-0.00526664839804757,-0.0321827143984953,-0.132080096682183
"GRHL2",0.179021067207957,0.100435608818077,0.0992496118694254,0.0992496118694254,0.091431429883798,0.0615475337916723,-0.0372253157096004,-0.054324898703033,-0.00298952725572454,-0.0335718246977789,-0.032092902896807
"miR200",0.0377677882097164,0.0960654903924975,0.0948399961171018,0.0948399961171018,0.0887696220653871,0.0671124055215914,-0.034706281769768,-0.063046216357495,-0.110397559154213,0.0697480604993631,-0.0299522242947473
"OVOL2",0.110108377502835,0.0884108802840474,0.0878377947027468,0.0878377947027468,-0.0133247726062074,-0.0269987352659852,-0.0230190187075002,-0.0665763974971988,0.0878242432504937,-0.0201752148262334,-0.0180411483181765
"ZEB",-0.188915060140819,-0.0375698377048834,-0.0372253157096004,-0.0372253157096004,-0.0272543350002244,-0.00672779459453597,-0.00396277490989385,0.00602185716000631,0.0615475337916723,0.0990874349153759,0.100435608818077
"OCT4",-0.101708550063818,-0.13122883550093,-0.0310039785812212,-0.0310039785812212,-0.0219564009706138,-0.107875302817045,0.0981963570937502,0.0100659750658575,0.170171340113083,-0.000158743997350563,0.201866219124706
"NRF2",-0.23190999847761,-0.0925681961195329,-0.0866684611298449,-0.0866684611298449,-0.0651026467530477,0.122619167083265,0.114588993105873,-0.11189676528932,-0.0968947958522017,0.120323574933097,0.121858704269101
"miR34",-0.23190999847761,-0.0925681961195329,-0.0866684611298449,-0.0866684611298449,-0.0651026467530477,0.122619167083265,0.114588993105873,-0.11189676528932,-0.0968947958522017,0.120323574933097,0.121858704269101
