"","NRF2","ZEB","OVOL2","miR34","GRHL2","OCT4","miR200","Ecad","KEAP1","miR145","SNAIL"
"SNAIL",0.0921214287198953,-0.0846845568931105,0.0799334481885662,-0.0167214218409916,0.0951199616355471,0.0746077719759763,0.100781442488015,-0.0951199616355471,-0.0920098327630682,0.0846856362696359,-0.0751877128547862
"KEAP1",-0.00900927629214599,-0.0823870168855266,0.0829663472765479,-0.0137426995555074,0.0978919201455319,0.0721081984239879,0.102467252971922,-0.0978919201455319,-0.0897845561308098,0.086832124804356,0.0269879847652716
"ZEB",-0.107094833265527,-0.0799868289489023,-0.0187442404424032,-0.0171207877256682,-0.00451068844712198,-0.0042470381008168,0.00400134314626469,0.00451068844712198,0.0090771534019327,0.0107066222136683,0.0973935473632702
"OVOL2",-0.0179176736160739,-0.0276559151655169,-0.0430557727982269,0.0519768407170572,0.0496939424976619,0.0187996983353174,-0.0560602950304422,-0.0496939424976619,0.0745705608270362,0.0399407825376789,-0.0511698212175843
"Ecad",0.0171355321504938,-0.017153442891385,0.0452116585636439,0.0465667682697094,0.0354393193458359,-0.0018220459521184,0.0756609862148643,-0.0354393193458359,-0.0603415872389556,0.0156473418029836,0.0307337398819231
"GRHL2",0.0992187689325094,-0.00451068844712198,0.0396613955192288,0.0359542446989619,0.0234006648418482,-0.0138144901823456,0.0090771534019327,-0.0234006648418482,0.0068133694738843,0.0042470381008168,-0.0821255850546719
"miR200",0.193424690321433,-0.00226026497816434,0.0385279184040861,0.0359791353702488,0.0211258497088485,-0.0159446022997511,-0.000428376225852087,-0.0211258497088485,-0.0837297552951587,0.00216245743647848,-0.0672250366734978
"OCT4",-0.175278372247061,0.00317122369497994,-0.00570358469667935,0.00149533701894471,0.0149137975202951,-0.0311561065438534,-0.0228891860588717,-0.0149137975202951,0.0381281137977995,-0.0135624087639537,0.0781134225291878
"miR145",0.0511239753248836,0.019659509115134,0.0165833156111279,0.00107069133089122,-0.00814739234060523,-0.0193310264334451,-0.0949155722856424,0.00814739234060523,0.104502556015304,-0.108420709508293,-0.0628294757303498
"NRF2",-0.0974828131786669,0.0951199616355471,-0.0658370558229321,0.0294335660660461,-0.0823870168855266,-0.086832124804356,-0.0920098327630682,0.0823870168855266,0.102467252971922,-0.0746077719759763,-0.0143613811190865
"miR34",-0.0974828131786669,0.0951199616355471,-0.0658370558229321,0.0294335660660461,-0.0823870168855266,-0.086832124804356,-0.0920098327630682,0.0823870168855266,0.102467252971922,-0.0746077719759763,-0.0143613811190865
