"","NRF2","OCT4","ZEB","OVOL2","miR34","GRHL2","Ecad","miR200","miR145","KEAP1","SNAIL"
"NRF2",0.00905752666961997,0.0740457337728891,-0.0883403970299731,0.0050430124402286,-0.0914278648930995,0.00431609689041146,0.00431609689041146,-0.0933224931822736,0.00276097825994566,0.0167965334823178,0.00602543769491555
"ZEB",-0.157901187879071,-0.0489309807808536,-0.0191163339671902,-0.00501543522083796,-0.00230466810900054,-0.0020863497366058,-0.0020863497366058,0.0117112413832577,0.0180272614351206,0.0601757440424646,0.069918063401545
"miR200",0.233767730523305,-0.00488021826524406,-0.0182160658590384,0.087401960949931,0.0672146119676072,0.0889930109175384,0.0889930109175384,0.0484787949760404,0.0544991455827001,-0.0845274213759638,0.0574872130285302
"OVOL2",-0.015868146011768,0.00302421023809852,-0.00709603059106357,-0.0102868020093132,0.0898240358271739,0.0875832557841711,0.0875832557841711,-0.0203271404316264,0.0709290624314968,0.0933761085466458,-0.0341791750636164
"SNAIL",-0.0182583878196912,0.00276097825994566,-0.00678888435622,0.0903293011642474,-0.00982580453517835,0.0883403970299731,0.0883403970299731,-0.0193043387326089,0.0715855982080361,0.0933224931822736,-0.0244212542562012
"Ecad",0.221216611936559,-0.0173079534614442,-0.00239768368456842,0.0886156539347997,0.0836679703455449,0.0849726529400788,0.0849726529400788,0.0639181786628308,0.0518893254501205,0.0106642103239904,0.092498054719874
"GRHL2",0.13131651427453,-0.0194117251404167,-0.0020863497366058,0.0877098752651909,0.0816258847262112,0.0837202952717546,0.0837202952717546,0.0601757440424646,0.0489309807808536,0.0135170664150517,-0.00264774538034356
"KEAP1",-0.0808523984644918,-0.000886224570435101,0.00431609689041146,-0.0931365113445383,0.00705486084796431,-0.0912230674708514,-0.0912230674708514,0.0167965334823178,-0.0740457337728891,-0.0954858309834964,-0.0776662209494733
"miR145",0.0712418661534935,-0.0340414539985457,0.0308138272666753,0.0462772160216224,0.0257526282437322,0.0241675133729392,0.0241675133729392,-0.0674440482656585,-0.0883637736209328,0.116830781682429,-0.00217209042852824
"OCT4",-0.218209052823315,-0.0655150906667699,0.0518614362632556,0.000584922636896634,0.0170188292308852,0.0118564406080917,0.0118564406080917,-0.0166162686420718,-0.0104900250186439,0.0754158024416055,0.0125962832093437
"miR34",-0.00905752666961997,-0.0740457337728891,0.0883403970299731,-0.0050430124402286,0.0914278648930995,-0.00431609689041146,-0.00431609689041146,0.0933224931822736,-0.00276097825994566,-0.0167965334823178,-0.00602543769491555
