"","miR34","miR145","GRHL2","Ecad","miR200","OVOL2","ZEB","KEAP1","OCT4","SNAIL","NRF2"
"NRF2",0.398338290600263,0.258207809572141,0.246686437977638,0.246686437977638,0.329120755370562,0.158537568840342,-0.265231713406584,-0.341960878918142,-0.269952776015094,-0.527041149773324,-0.284505710227769
"miR34",0.398338290600263,0.258207809572141,0.246686437977638,0.246686437977638,0.329120755370562,0.158537568840342,-0.265231713406584,-0.341960878918142,-0.269952776015094,-0.527041149773324,-0.284505710227769
"KEAP1",0.408408548211504,0.269952776015094,0.259010848261232,0.259010848261232,0.341960878918142,0.173877232828655,-0.246686437977638,-0.31928289683422,-0.243112285217548,-0.516845336133891,-0.171685197407257
"GRHL2",0.104401604528196,0.101675590517636,0.100516333302814,0.100516333302814,0.0962523828919966,0.0918478945303862,-0.0399198683364945,-0.032914964591343,-0.0342260370938844,-0.0977559210971056,-0.165400809961879
"miR145",0.103204047259373,0.102878552460793,0.101480417290523,0.101480417290523,0.0953058322522993,0.0925219241215419,-0.0394510347027763,-0.0303830120603928,-0.133680979972594,-0.0917531722030319,-0.220677131160989
"miR200",0.0591016288371786,0.0887616098971187,0.0873425776053107,0.0873425776053107,0.0649630845372134,0.0842707988759157,-0.028988126750725,-0.104993715340315,-0.0250998565999892,0.0568770376989405,-0.246937776555841
"OVOL2",0.0920296233009425,0.0893004864481973,0.0887531276560983,0.0887531276560983,-0.0104281993862843,-0.0131165069716371,-0.0254376196347079,0.075773841064888,-0.0199994436144474,-0.0852583339112859,0.00158446838966115
"ZEB",-0.0506367677329442,-0.0402260435010783,-0.0399198683364945,-0.0399198683364945,-0.0379936255409355,-0.0289617864993392,-0.00257092200359552,0.0962523828919966,0.101675590517636,0.122549796244338,0.184606107975124
"Ecad",0.0222262040473529,0.0480653421001031,0.0451186245096307,0.0451186245096307,0.0397500641883983,0.0574229194364788,0.00246438561240123,0.008273103779368,0.00265574633527106,0.186007531951252,-0.202653711735572
"OCT4",-0.0243917463079639,-0.12987336939641,-0.0295463107997789,-0.0295463107997789,-0.118796308768399,-0.0214554004369652,0.095041467312468,0.184880224852315,0.199364894820139,0.0259079433225798,0.305798972512005
"SNAIL",-0.415250395203049,-0.277555232634804,-0.265231713406584,-0.265231713406584,-0.346230639966648,-0.176088681713424,0.252225785360795,0.329120755370562,0.258207809572141,0.422763863637631,0.284777172732011
