"","ZEB","KEAP1","NRF2","OVOL2","miR145","GRHL2","miR34","Ecad","OCT4","SNAIL","miR200"
"ZEB",-0.0910143343813012,-0.0828833532402888,-0.021798475356435,-0.020284746667704,-0.0100324486403061,-0.004285624686877,0.00313833879243182,0.004285624686877,0.017019848411211,0.0667254796156041,0.083139042322365
"OVOL2",-0.0303253570868326,0.0806710082615027,-0.0336170735118904,-0.0525609544481691,0.0394414156389986,0.0387448460945569,0.0343088750717136,-0.0387448460945569,-0.0270911613944067,-0.0519113913109306,-0.0802837198111871
"SNAIL",-0.026718388313425,0.073041596876377,-0.0335349090653464,0.0409308789903341,0.0330534696313811,0.032309148738609,0.0673877780455581,-0.032309148738609,-0.0248888422676436,-0.0846574338057908,-0.0727633502860381
"KEAP1",-0.0248467072313436,0.0728689420381409,-0.136319528633713,0.0439211055016663,0.0357709132168286,0.034679731350082,0.0688779419813903,-0.034679731350082,-0.0210469868364605,0.0168491620325469,-0.0723503187472404
"miR145",-0.0135471862158532,-0.00812880754300993,0.0927970552022404,0.0319716575464973,0.0310659885168344,0.0211573709199016,0.0110754311280568,-0.0211573709199016,-0.119912920411642,-0.0781913760869643,0.00848758935360651
"Ecad",-0.00552304389456843,0.114023892367156,-0.0933990850317452,0.0283784337294415,0.0176468997954489,0.0125138678468908,0.0934629867612738,-0.0125138678468908,-0.00727955285667344,0.0261572434091673,-0.113830825969103
"GRHL2",-0.004285624686877,0.0830059022598966,0.0163348991974946,0.0278564241585958,0.017019848411211,0.0106590486030495,0.00131269978323583,-0.0106590486030495,-0.00759212760406578,-0.0638986244919292,-0.0828833532402888
"miR200",-0.00285939992085222,-0.0228984039084898,0.118461960155933,0.0277329425373877,0.0160655763025756,0.0096799099763868,-0.00825889138500264,-0.0096799099763868,-0.00593369112026376,-0.0485174855532041,-0.0770345912097259
"OCT4",0.0165110500210278,0.0820028142805161,-0.170832704918033,-0.018689529874521,-0.114441638520311,-0.00672000046534771,0.0046306999923906,0.00672000046534771,0.128931970341748,0.0663758370048998,-0.0815657513434531
"NRF2",0.032309148738609,-0.0723503187472404,0.0274270027199103,-0.0321241734344639,-0.0248888422676436,-0.0248467072313436,-0.0622566943765361,0.0248467072313436,0.0357709132168286,-0.0123927136868346,0.073041596876377
"miR34",0.032309148738609,-0.0723503187472404,0.0274270027199103,-0.0321241734344639,-0.0248888422676436,-0.0248467072313436,-0.0622566943765361,0.0248467072313436,0.0357709132168286,-0.0123927136868346,0.073041596876377
