"","ZEB","KEAP1","OVOL2","miR145","GRHL2","Ecad","miR34","OCT4","SNAIL","miR200","NRF2"
"ZEB",-0.0971074921180336,-0.0794902918624016,-0.0188106663333539,-0.0107358742669634,-0.00216463331130563,-0.00216463331130563,-0.00203534414477024,0.0119750703515203,0.0235682007491225,0.0801295145675921,0.0923837567456444
"SNAIL",-0.0295283574266039,0.0964039681887432,0.0397135212916904,0.0327040339751342,0.0319404588166285,0.0319404588166285,-0.0635499644983366,-0.0286476750578187,-0.0391031646800912,-0.0938541346805554,-0.0558763627357464
"KEAP1",-0.0284349994947337,0.0976982068303494,0.0420068795978237,0.0347358821527372,0.0337093170139492,0.0337093170139492,-0.0606130268199234,-0.0255334281650071,0.0663399349214639,-0.0926534166370444,-0.153157553942242
"Ecad",-0.00310996033297076,0.116448156894357,0.0206187452849385,0.0119355573674063,0.00496408955442568,0.00496408955442568,0.00992431054926159,-0.00888793831978727,0.0758741752106163,-0.114643405782127,-0.204235884750403
"GRHL2",-0.00216463331130563,0.0805932330388722,0.0201650145037958,0.0119750703515203,0.00327580839334835,0.00327580839334835,0.00385285156316787,-0.0102549248007429,-0.0203732655312191,-0.0794902918624016,-0.0907044757617277
"OCT4",-0.00180596611162553,0.14273366742359,0.00124332853588395,-0.13755845565549,0.00224628313988588,0.00224628313988588,-0.00256246143357076,0.138298489076354,0.0272451067691902,-0.142267466957389,-0.124404090081139
"miR200",0.00160693956194108,-0.0256622763137987,0.0190877314472408,0.0088348531115879,-4.87360788979999e-05,-4.87360788979999e-05,0.010274396098054,-0.00636782440716587,-0.0252111561143924,-0.0728348999090404,0.0142479144209645
"miR145",0.00175328857651472,-0.0967305036614213,-0.0156809442953383,0.104048810685558,-0.0025516257676905,-0.0025516257676905,0.000231235352368369,-0.205249080409091,0.0098601500714057,0.0959712212250425,0.129904055329474
"NRF2",0.0319404588166285,-0.0926534166370444,-0.0351770768220749,-0.0286476750578187,-0.0284349994947337,-0.0284349994947337,0.069618775169934,0.0347358821527372,-0.0497295365419905,0.0964039681887432,0.0610680831293671
"miR34",0.0319404588166285,-0.0926534166370444,-0.0351770768220749,-0.0286476750578187,-0.0284349994947337,-0.0284349994947337,0.069618775169934,0.0347358821527372,-0.0497295365419905,0.0964039681887432,0.0610680831293671
"OVOL2",0.0679549707939782,0.0308753035404601,-0.0859507484987367,-0.0750477627419788,-0.0682936517208944,-0.0682936517208944,-0.073027955233182,0.074539273558147,0.0734868214967342,-0.0311883174934549,0.00987581928977868
