"","miR200","SNAIL","ZEB","miR145","Ecad","NRF2","GRHL2","OVOL2","miR34","OCT4","KEAP1"
"ZEB",-0.114248220604028,-0.0820760846250446,-0.0650767103156005,-0.042699799673667,-0.0348360871074744,0.0211704672574952,0.0348360871074744,0.0365659156310892,0.0409513559315854,0.0423665704744585,0.114356888463911
"miR145",0.141282443137168,0.0853046851232281,-0.0475554635951636,0.0587638092376409,0.0471728286100438,-0.0242487942442065,-0.0471728286100438,-0.0403868588495233,-0.0509530524591553,-0.159451604247756,-0.141240724321983
"OVOL2",-0.0439353682560818,0.0800222944987637,-0.0402491471394192,0.0402729421721446,0.0398391649647311,-0.0422883596332504,-0.0398391649647311,-0.0743045946174701,-0.0435204682979254,-0.041298539000551,0.0437178500853565
"KEAP1",-0.0452311079537298,0.0721799779245647,-0.0400446044148885,0.0412099758321909,0.0399650920904783,-0.140919378016186,-0.0399650920904783,-0.044450317202918,-0.100925675309912,-0.0379891169364854,0.0447124846628293
"SNAIL",-0.0449571490574801,-0.028276883576915,-0.0399536420076491,0.0405245297326754,0.0397901097100203,-0.0419752383129622,-0.0397901097100203,-0.0433424953299605,-0.100930320543484,-0.0404429576155082,0.0448339907306088
"GRHL2",0.114356888463911,0.0820760846250446,-0.0348360871074744,0.0423665704744585,0.034715182046734,-0.0216671559992171,-0.034715182046734,-0.0361303065704208,-0.0408122609760958,-0.0431274040834561,-0.114173064934499
"Ecad",0.0861099115486825,0.12430011401323,-0.0329375835063968,0.0392658266846909,0.0328240653907976,-0.127159137512833,-0.0328240653907976,-0.0354538757922925,-0.131114955338502,-0.0393202484533984,-0.0860511522101448
"miR200",0.117723012301189,0.0021175139156726,-0.0304609704511718,0.0380729901366868,0.0304340119134029,0.082891366139957,-0.0304340119134029,-0.0348633829627806,-0.0231049818241356,-0.0382436650785022,-0.217560286159713
"NRF2",0.0448339907306088,-0.0709645829211887,0.0397901097100203,-0.0404429576155082,-0.0400446044148885,0.0417377086217508,0.0400446044148885,0.0430989658515667,0.101372769199629,0.0412099758321909,-0.0452311079537298
"miR34",0.0448339907306088,-0.0709645829211887,0.0397901097100203,-0.0404429576155082,-0.0400446044148885,0.0417377086217508,0.0400446044148885,0.0430989658515667,0.101372769199629,0.0412099758321909,-0.0452311079537298
"OCT4",-0.23019211693532,-0.0294028653950286,0.0401246365734797,-0.150682499085773,-0.0405809651300404,-0.0799098319258155,0.0405809651300404,0.0388114563213231,0.0386628940079009,0.149083072014873,0.229521953765157
