"","miR200","SNAIL","ZEB","OCT4","GRHL2","Ecad","NRF2","OVOL2","miR34","miR145","KEAP1"
"ZEB",-0.0915124115565751,-0.0808271584185384,-0.0705650613539444,-0.0368775637431787,-0.0287106233642489,-0.0287106233642489,0.0270888379773168,0.0332241899701711,0.0357019284226087,0.0368567369182282,0.0926182668365546
"miR145",0.120952280390039,0.0842415082490696,-0.0419308829599837,-0.167248120920556,0.0416899646360195,0.0416899646360195,-0.0303127982435907,-0.0369754215924357,-0.0461831021132951,0.0694193953642514,-0.120293123110105
"KEAP1",-0.0526813331617436,0.0723608472835163,-0.0396689452878624,0.0388245388245388,0.0364619482033143,0.0364619482033143,-0.14531139237478,-0.0415780200469137,-0.098010068748985,-0.037750919192637,0.0484851992626394
"SNAIL",-0.0511819538442072,-0.0283627586216519,-0.0384793001808726,0.0401957897583129,0.0376411971555251,0.0376411971555251,-0.0445644632203102,-0.0416405127219373,-0.0990991791897084,-0.0382603058873452,0.0509310757709508
"OVOL2",-0.0504491456957814,0.0798582019393621,-0.0384542789650819,0.0408361838540383,0.0378244512764306,0.0378244512764306,-0.0446686118736487,-0.0727608263183979,-0.0417185379403063,-0.0381213687200212,0.0508682660735203
"GRHL2",0.0926182668365546,0.0808713280298458,-0.0287106233642489,0.0383661512390437,0.0291769714556762,0.0291769714556762,-0.027278052736068,-0.0328836228863758,-0.035980118333588,-0.0368775637431787,-0.0912089531110645
"Ecad",0.0666475801269945,0.123362673071089,-0.0277731419984255,0.0354664033854068,0.0275839451390934,0.0275839451390934,-0.132585739684562,-0.0322208141282561,-0.126630802601747,-0.0340514373990122,-0.0662362647572304
"miR200",0.0980922474142191,0.00105302059473258,-0.0248462442234657,0.0338469239504623,0.0250888710633859,0.0250888710633859,0.0776588393034604,-0.0316681239227239,-0.018544558090986,-0.0327452947805631,-0.197182895447147
"OCT4",-0.209522942471981,-0.0279850909884169,0.0347171787863232,0.137098480768897,-0.0360061068145035,-0.0360061068145035,-0.0761967039244908,0.0369241301750016,0.034847067294497,-0.133398313664576,0.209522942471981
"NRF2",0.0509310757709508,-0.0702676669999241,0.0376411971555251,-0.037750919192637,-0.0396689452878624,-0.0396689452878624,0.0410015178521392,0.0436963545976806,0.101139725977003,0.0401957897583129,-0.0526813331617436
"miR34",0.0509310757709508,-0.0702676669999241,0.0376411971555251,-0.037750919192637,-0.0396689452878624,-0.0396689452878624,0.0410015178521392,0.0436963545976806,0.101139725977003,0.0401957897583129,-0.0526813331617436
