"","miR200","miR34","OCT4","GRHL2","Ecad","OVOL2","ZEB","miR145","NRF2","SNAIL","KEAP1"
"OVOL2",0.144345031474027,0.129247741150159,0.0878813488119248,0.125510675772317,0.125510675772317,-0.00862648299360711,-0.102319944934527,0.109056906857258,0.0128343671322437,-0.0868417750310791,-0.136975940275555
"NRF2",-0.0421114731371335,-0.0711217082467991,0.0659465187314719,0.0218150970805793,0.0218150970805793,0.0200811135298592,-0.074905976318737,0.0177202483575505,-0.0694698941193575,0.0182325951031961,0.0257414187173659
"miR200",0.140500901004316,0.0704834625307803,0.0200298404405153,0.0849863406445339,0.0849863406445339,0.0772866876317124,-0.0494172459122321,0.0523494680588241,0.0692327537735489,-0.0133780029965617,-0.229464239761854
"GRHL2",0.14870436904771,0.08535685343621,0.00790474919567858,0.0790949806201872,0.0790949806201872,0.0762942562628776,-0.0365536713911009,0.0464095457553875,-0.0192550261443391,-0.0907994125217171,-0.135469074930063
"Ecad",0.163029424792762,0.155417987974785,0.0137739486207252,0.0592019852301978,0.0592019852301978,0.0587113750426891,-0.0349280281778848,0.0358419758316096,-0.108011265573652,-0.123846907318961,-0.155516623651152
"SNAIL",-0.0276107205029137,-0.0225778265853053,0.0177202483575505,0.074905976318737,0.074905976318737,0.0763364230388358,-0.0277473499900371,0.0604417908121297,-0.0243731856022214,-0.0552608730805375,0.0421114731371335
"ZEB",-0.137255890397749,-0.0464473578872486,-0.0464095457553875,-0.0365536713911009,-0.0365536713911009,-0.0311572374128855,-0.0256128677343818,-0.0121077650618542,0.0552294821519077,0.112280566820893,0.14870436904771
"miR145",0.0220913023674803,0.0316834410778995,-0.0124654492731543,0.0230979651043175,0.0230979651043175,0.0389790896935036,0.00464543326121704,-0.087637398025683,-0.0681561938891296,-0.0777328676590348,-0.0135556327804965
"KEAP1",0.0257414187173659,0.0164698027752215,-0.0118054144369934,-0.0816348691452493,-0.0816348691452493,-0.0833754889863968,0.0218150970805793,-0.0659465187314719,-0.0815393802941723,-0.0480772946305425,-0.0446475950492848
"OCT4",-0.154332570052887,-0.0173160024434491,-0.0660318216835582,-0.0142115798805958,-0.0142115798805958,-0.0182241524663626,0.0495250055470757,-0.0337329436697124,-0.0158660730253353,0.0488261300974899,0.164763805484122
"miR34",0.0421114731371335,0.0711217082467991,-0.0659465187314719,-0.0218150970805793,-0.0218150970805793,-0.0200811135298592,0.074905976318737,-0.0177202483575505,0.0694698941193575,-0.0182325951031961,-0.0257414187173659
