"","miR145","GRHL2","Ecad","miR34","miR200","OVOL2","SNAIL","NRF2","KEAP1","ZEB","OCT4"
"miR145",0.510383978613415,0.491372312824808,0.491372312824808,0.466199071055555,0.275560257225185,0.255369289709091,-0.156231833278077,-0.18863784475146,-0.26502208450929,-0.505123552845593,-0.591894430400334
"miR200",0.479325617011827,0.461612025423522,0.461612025423522,0.436054155390536,0.25844533326991,0.24001293465541,-0.132727454988864,-0.108150710631271,-0.349591116748421,-0.473716408881764,-0.463173561154573
"GRHL2",0.476214294422607,0.458135523159882,0.458135523159882,0.435577280947013,0.255306261928457,0.236665266951579,-0.145030319938242,-0.20841481885375,-0.246401033170287,-0.47012815370856,-0.460071390023004
"Ecad",0.391367638959774,0.373442061932494,0.373442061932494,0.257110470988746,0.177315920689772,0.193766936560104,-0.000793692166071171,-0.277507671568432,-0.171448381027218,-0.381549147354876,-0.380755394061815
"NRF2",0.276365870869211,0.265880445464577,0.265880445464577,0.261609995341724,0.202533689249669,0.1727365133529,-0.110416898527815,-0.0666650427063315,-0.1974594136209,-0.273868295394796,-0.265963186305453
"miR34",0.276365870869211,0.265880445464577,0.265880445464577,0.261609995341724,0.202533689249669,0.1727365133529,-0.110416898527815,-0.0666650427063315,-0.1974594136209,-0.273868295394796,-0.265963186305453
"KEAP1",-0.265963186305453,-0.256100429562112,-0.256100429562112,-0.252859729214409,-0.1974594136209,-0.168390275222878,0.107040801296214,-0.0392814930274383,0.189302883682191,0.265880445464577,0.250932511458827
"OVOL2",-0.283909343839792,-0.272105056178088,-0.272105056178088,-0.266189193385643,-0.202226791272062,-0.187186469022022,0.137362308983233,0.0722785726711862,0.197499750049716,0.278385507752657,0.27523055387168
"SNAIL",-0.285034762229983,-0.273868295394796,-0.273868295394796,-0.268695777551326,-0.207236512768348,-0.176899168390562,0.012545006408135,0.0699904583832911,0.202533689249669,0.279878107332653,0.276365870869211
"ZEB",-0.489126925891939,-0.47012815370856,-0.47012815370856,-0.445759031688853,-0.261743234569726,-0.242621230835628,0.14985953077452,0.214493342978632,0.255306261928457,0.379202560642055,0.476214294422607
"OCT4",-0.579035666908747,-0.461675588374178,-0.461675588374178,-0.436452182371551,-0.357946915470305,-0.240566396333798,0.14113526098951,0.0884948277860573,0.347340854864244,0.477823214665107,0.55566493403694
