"","SNAIL","GRHL2","Ecad","OVOL2","ZEB","miR34","miR145","miR200","KEAP1","OCT4","NRF2"
"miR34",0.038624802595997,0.0215794655831898,0.0215794655831898,0.0230415074261747,-0.0625859510934107,-0.0531769073479483,0.0175801479733299,-0.0586464054940376,0.0247443610757408,-0.054397022374097,-0.0657566051102852
"OCT4",0.041532709841528,0.00445566966916996,0.00445566966916996,0.0117894252680061,-0.0464779256935075,-0.000427237030180816,0.0250670699125219,0.0277883198808321,-0.0630155926081048,-0.063286215293281,-0.0103654851796655
"GRHL2",0.0866839833514517,0.07924092550722,0.07924092550722,0.0773267762814415,-0.0321052239699985,0.0535518826602301,0.0464690488702069,0.0344658910746409,0.00423917428483623,-0.00455704093107361,-0.041467065589203
"miR200",0.012608478220019,0.0791496817868356,0.0791496817868356,0.0775671419323756,-0.0318158811721809,0.0541048441028845,0.0465026684404942,0.0370380625692092,-0.0981273705045016,-0.00437698961970284,0.0597497697909786
"Ecad",0.101733799160277,0.0770703803686755,0.0770703803686755,0.0763350580408822,-0.0302252379980388,0.0598476833774699,0.0465920101913502,0.0413389931751537,-0.00285162643293933,-0.00490493536141827,-0.137504952546725
"OVOL2",0.074728333798227,0.0769076514001618,0.0769076514001618,-0.0219815567104754,-0.0260401528856045,0.0625572353407651,0.0620497222116647,-0.0417517054250824,0.0837221017325788,-0.0166218156357792,-0.0267575894371024
"SNAIL",-0.0729849740580274,0.0625859510934107,0.0625859510934107,0.0661575520543674,-0.025525444143288,-0.0227271946093892,0.0506910118962072,-0.0280894561714084,0.0586464054940376,-0.0175801479733299,-0.0231369919443537
"ZEB",-0.100096821985138,-0.0321052239699985,-0.0321052239699985,-0.0278257466600254,-0.0253950874677762,-0.0184535888916841,-0.00833513238577497,0.000755279981355012,0.0344658910746409,0.0464690488702069,0.0904500362609154
"KEAP1",0.025660589226652,0.0670870192540088,0.0670870192540088,0.0708501268564157,-0.0215794655831898,-0.0194319637669391,0.054397022374097,-0.0247443610757408,0.0622266807362783,-0.0137528505949559,-0.118457096108648
"miR145",0.0754221115208359,0.0233952627998112,0.0233952627998112,0.0396362217204712,0.00683290102464908,0.0121137047516974,-0.0874274763591624,-0.0823616602899455,0.107050855116812,0.0140626752802683,-0.0835793563688125
"NRF2",-0.038624802595997,-0.0215794655831898,-0.0215794655831898,-0.0230415074261747,0.0625859510934107,0.0531769073479483,-0.0175801479733299,0.0586464054940376,-0.0247443610757408,0.054397022374097,0.0657566051102852
