"","SNAIL","ZEB","OVOL2","GRHL2","Ecad","miR200","miR145","OCT4","KEAP1","miR34","NRF2"
"ZEB",-0.0940412291567936,-0.0615220828322584,-0.0308702302238185,-0.026580994172956,-0.026580994172956,-0.0197111852723437,0.00808906657753052,0.0197833287872566,0.033269098849434,0.0364940915013412,0.0522961848912256
"OVOL2",0.0789657851592852,-0.0342925570243524,-0.0426896238020429,0.0525100258300565,0.0525100258300565,-0.0504446348522413,-0.042355839708578,-0.0245759551959519,0.0711194717136133,-0.0566237772413043,-0.0347975021305393
"SNAIL",-0.0305738461174747,-0.0332305290232133,0.0580512945405183,0.053825377755838,0.053825377755838,-0.04836713465963,-0.0434167023337347,-0.0233425458635827,0.0717809010237225,-0.113668048055476,-0.0331758227798724
"KEAP1",0.0681220385153218,-0.0283184407227537,0.0647438728175995,0.0599378417299098,0.0599378417299098,-0.0426442632828783,-0.0482706379057687,-0.0175957912800018,0.0786178606426142,-0.118684205777802,-0.125391028271471
"GRHL2",0.0880783316302918,-0.026580994172956,0.0475738576592692,0.0414408018763356,0.0414408018763356,0.033269098849434,-0.0197833287872566,-0.00532749021630065,-0.0165003079997608,-0.04990284521054,-0.0329016721192294
"Ecad",0.127989509839803,-0.0253667872459508,0.0494206660104401,0.0432175109239378,0.0432175109239378,0.0363529086948151,-0.021921418601053,-0.0045880852677197,-0.0161648788114944,-0.142698142803212,-0.132278573031289
"miR200",0.00620354864963287,-0.0242806949724701,0.0479784779986324,0.0406660942284145,0.0406660942284145,0.0364198341554734,-0.0188004928681153,-0.00286565966408112,-0.117897770405114,-0.0326496388579138,0.0700881998752037
"miR145",0.0771254204306453,0.00378094661120776,0.022184466071726,0.00497241915949469,0.00497241915949469,-0.0814142490047423,0.0145525597265962,0.123089309558019,0.0912014830472955,-0.0135335595535263,-0.0787799919867981
"OCT4",-0.0333763374395335,0.0192584150220061,-0.0160215953837591,-0.00403945737249841,-0.00403945737249841,-0.0455116341562636,-0.114097924048078,-0.0989869190349482,0.0630232891679186,0.0082278728755246,-0.0205997615499255
"NRF2",-0.0783178521547546,0.053825377755838,-0.0295356916634724,-0.0283184407227537,-0.0283184407227537,0.0717809010237225,0.0233425458635827,0.0482706379057687,-0.0426442632828783,0.0911559962823792,0.0663621139234082
"miR34",-0.0783178521547546,0.053825377755838,-0.0295356916634724,-0.0283184407227537,-0.0283184407227537,0.0717809010237225,0.0233425458635827,0.0482706379057687,-0.0426442632828783,0.0911559962823792,0.0663621139234082
