"","miR200","ZEB","miR145","OVOL2","GRHL2","Ecad","miR34","NRF2","SNAIL","OCT4","KEAP1"
"OVOL2",0.141480998028881,-0.0917651300453803,0.107711588568764,-0.0251202318686909,0.100588659457145,0.100588659457145,0.0899386177063215,0.0186582022113122,-0.0793425193613416,-0.0962231803984629,-0.136350752392508
"ZEB",-0.131831632295192,-0.0573554084710851,-0.0311848729859939,-0.0306786346570183,-0.0276368500756573,-0.0276368500756573,-0.0232188173370199,0.0283414669631241,0.0487414254581677,0.0503455519404873,0.140250195322551
"miR145",0.163474906081507,-0.0332628731480216,0.0599095159368495,0.0542598182487549,0.0533441240337507,0.0533441240337507,0.042299710792446,-0.010344222904704,-0.0321535448097803,-0.133921653495851,-0.151701856436117
"SNAIL",-0.0186873718562407,-0.0302923979422955,0.046167885272932,0.0510414573302198,0.0452862654811344,0.0452862654811344,0.0761885050432868,-0.0240827686565057,-0.0776180709628157,-0.026939112562513,0.027185296410362
"GRHL2",0.140250195322551,-0.0276368500756573,0.0503455519404873,0.0508592144130772,0.0458359404090098,0.0458359404090098,0.0337529419661,-0.00972746507097653,-0.0314122146218898,-0.0269251086722108,-0.129710979636276
"KEAP1",-0.0170220371075233,-0.0270693703165338,0.050429045448419,0.0555319341473445,0.04935932525955,0.04935932525955,0.0787916298261126,-0.119586402503496,0.0258760829684383,-0.021748063853327,0.0296104388048359
"miR200",0.140557088771496,-0.0261634667775708,0.04937390422843,0.0508873997547106,0.0449427841873945,0.0449427841873945,0.0201060339062229,0.0917300228157192,-0.0257614230769429,-0.0252466738172586,-0.229673581544541
"Ecad",-0.154122231351118,0.0247141553642191,-0.0414948213378623,-0.0411188573796249,-0.0356875732054829,-0.0356875732054829,-0.0339911715388667,-0.0994576292437743,0.0692576583650969,0.027317950589563,0.147700675068066
"NRF2",0.027185296410362,0.0452862654811344,-0.026939112562513,-0.0308058567185644,-0.0270693703165338,-0.0270693703165338,-0.0656555855425273,0.0428815470752366,-0.00480923624325257,0.050429045448419,-0.0170220371075233
"miR34",0.027185296410362,0.0452862654811344,-0.026939112562513,-0.0308058567185644,-0.0270693703165338,-0.0270693703165338,-0.0656555855425273,0.0428815470752366,-0.00480923624325257,0.050429045448419,-0.0170220371075233
"OCT4",-0.241396942293368,0.0498318579517185,-0.130466916167775,-0.0265502413572699,-0.0260467326615096,-0.0260467326615096,-0.0184328243954161,-0.065858681900977,0.0516943324479102,0.160617310056531,0.254334005230431
