"","SNAIL","OCT4","GRHL2","Ecad","OVOL2","ZEB","miR145","miR200","KEAP1","miR34","NRF2"
"miR200",0.0892413488593444,0.0202120080088845,0.0837364599814538,0.0837364599814538,0.0763302872410286,-0.0498064443455019,0.0512903633230816,0.0198875793680159,-0.0932866412996709,-0.0905203214131235,-0.237555759133119
"GRHL2",0.100176492440689,0.00810346559023859,0.077765876259663,0.077765876259663,0.0752758176132463,-0.0369978412547692,0.0452850732647341,0.0289272200509255,0.00307849890332287,-0.0875031040590271,-0.135458294885776
"Ecad",0.132034248540134,0.00718908138991459,0.0781517654120387,0.0781517654120387,0.0766903892711553,-0.0340972767165511,0.0473251358116833,0.0339722301969848,0.000720962113936047,-0.176601321973111,-0.224919330542599
"OVOL2",0.0516299670322676,0.0191588016578106,0.0725942551664668,0.0725942551664668,-0.0258797286365046,-0.0295936609894021,0.0584676011062291,-0.0445731780587312,0.0784688754432078,-0.074603151973924,0.0120467291075603
"SNAIL",-0.0499491435334766,0.0179887635538049,0.0741516994942578,0.0741516994942578,0.0757293632538791,-0.0283830976954025,0.059790765778499,-0.0425810259317912,0.0787941354514737,-0.130258422490112,0.0147747124555497
"ZEB",-0.128724784549052,-0.0452850732647341,-0.0369978412547692,-0.0369978412547692,-0.0317703526995761,-0.0272544411392085,-0.01250365079259,-0.000628830892142573,0.0289272200509255,0.0484266945634782,0.152227452880099
"miR145",0.074026035442562,-0.012289412037134,0.0221446068256907,0.0221446068256907,0.0382333788149728,0.00429499825721358,-0.0884323655098244,-0.0847370508270106,0.105387864343907,-0.0311922288430254,-0.0743150687102255
"KEAP1",-0.0465909330027757,-0.0118054144369934,-0.0812953105713953,-0.0812953105713953,-0.0831406093622042,0.0221116371020076,-0.0656397702652143,0.0373615718391778,-0.0844619961673249,0.136441773880198,0.0825393563701176
"OCT4",-0.103621394346038,-0.0654474535316224,-0.0144016884037374,-0.0144016884037374,-0.0184886437441625,0.0484341918061872,-0.0339124809844752,-0.026964543639544,0.0541789958539962,0.0256421965117519,0.214643260473588
"NRF2",-0.0849433975537548,-0.0656397702652143,-0.0221116371020076,-0.0221116371020076,-0.0203575560386103,0.0741516994942578,-0.0179887635538049,0.0787941354514737,-0.0373615718391778,0.0808956806291862,0.00616183318408379
"miR34",-0.0849433975537548,-0.0656397702652143,-0.0221116371020076,-0.0221116371020076,-0.0203575560386103,0.0741516994942578,-0.0179887635538049,0.0787941354514737,-0.0373615718391778,0.0808956806291862,0.00616183318408379
