"","KEAP1","miR34","ZEB","OVOL2","miR145","GRHL2","Ecad","miR200","OCT4","SNAIL","NRF2"
"NRF2",-0.0180322974436754,-0.0895619244323113,-0.090155772085842,0.00482773552607907,0.00438985187540295,0.00463734174350558,0.00463734174350558,-0.0924991308015221,-0.0935557195647606,0.014963412557865,-0.0105247914267574
"ZEB",-0.0646216445298227,-0.0196174751619069,-0.0190639291254895,-0.0065485341150463,-0.00427262842756032,-0.00419958282482288,-0.00419958282482288,0.00213238257321995,0.084570452024353,0.136002178227467,0.160898374440663
"Ecad",0.0676479886036564,0.161134359898524,-0.0116559998402381,0.0657677676831125,0.0644261409788794,0.0613012557289904,0.0613012557289904,0.110399604485466,-0.0128070933598318,-0.125827536208439,-0.229805211016307
"OVOL2",-0.092515088679535,0.0895080849829065,-0.00778136941169989,-0.0089438981157321,0.0898121538308636,0.0894450651930427,0.0894450651930427,-0.0217686299814608,-0.00480827552352927,-0.0424076987184321,0.0160672667163408
"SNAIL",-0.0924991308015221,-0.0101655036438281,-0.00735732564266949,0.0916658167403284,0.0905077606629447,0.090155772085842,0.090155772085842,-0.0206887033965137,-0.00438985187540295,-0.0331613240624469,0.0184877637140638
"miR200",0.0974240464012966,0.0926966223487111,-0.00420166896035723,0.0879551317854656,0.0852254849492303,0.0845974202948049,0.0845974202948049,0.0668123875518662,-0.00192059743953283,-0.072347211188057,-0.23431881629714
"GRHL2",-0.00404665612377202,0.0933192555773372,-0.00419958282482288,0.087381735445634,0.084570452024353,0.0838645030850566,0.0838645030850566,0.0646216445298227,-0.0020365453091694,-0.0883726140342986,-0.133556841801117
"OCT4",0.141641111705659,0.000702675150789071,0.00135744974875962,-0.00289350948228727,-0.14455337236116,-0.00439163436168092,-0.00439163436168092,0.138873046437593,0.141330646173526,-0.0269628446105954,-0.122576852127836
"KEAP1",0.0949299872126523,0.00723277816873876,0.00463734174350558,-0.094601292867204,-0.0935557195647606,-0.0931875670284247,-0.0931875670284247,0.0180322974436754,0.00183792815371763,-0.0691835340973653,-0.119426108736909
"miR145",-0.123478526175334,0.0598401873725452,0.0136751564031733,0.0645695424491931,0.0554048138003136,0.0511129771883993,0.0511129771883993,-0.067900720585013,-0.0886347531125186,-0.0758037507978183,-0.0890196433343304
"miR34",0.0180322974436754,0.0895619244323113,0.090155772085842,-0.00482773552607907,-0.00438985187540295,-0.00463734174350558,-0.00463734174350558,0.0924991308015221,0.0935557195647606,-0.014963412557865,0.0105247914267574
