"","miR145","GRHL2","Ecad","miR34","miR200","OVOL2","SNAIL","NRF2","KEAP1","ZEB","OCT4"
"miR145",0.473923247924106,0.454202984542611,0.454202984542611,0.395982077147103,0.255200099184699,0.236332162104966,-0.131604246169382,-0.172858044636203,-0.245646490507186,-0.4628524247618,-0.55834671387151
"GRHL2",0.440008973062253,0.421264963711806,0.421264963711806,0.364976602852951,0.234995030081437,0.217598114172688,-0.119891234911441,-0.192674878132893,-0.227172317663136,-0.428835923467693,-0.42684324365438
"miR200",0.422569809342902,0.404310830091383,0.404310830091383,0.336441861891354,0.226998364696321,0.210163505609969,-0.0974141598442435,-0.0839459461121497,-0.319369380298887,-0.411023505995842,-0.410203634013189
"Ecad",0.417904193211143,0.400921904688325,0.400921904688325,0.333282699327824,0.194382851099899,0.210116789776035,-0.0191159763652508,-0.289309528278277,-0.186870049958289,-0.407307298690784,-0.40587698232679
"SNAIL",0.12204745811095,0.115856618248127,0.115856618248127,0.118739481465986,0.000660051050987779,0.0876210153918293,-0.0960967801634093,-0.0695764515920716,0.00204487072066756,-0.116602734356059,-0.11889580812949
"KEAP1",0.118080851274264,0.112162370736225,0.112162370736225,0.115797831068767,-0.000735854688898182,0.0863927174377094,0.00621383330176967,-0.165661201060356,0.00681789146400426,-0.113090014521011,-0.111332385016596
"NRF2",-0.11889580812949,-0.113090014521011,-0.113090014521011,-0.117266853849265,0.00204487072066756,-0.0854065961813179,-0.00236508245774536,0.071171293804491,-0.000735854688898182,0.115856618248127,0.118080851274264
"miR34",-0.11889580812949,-0.113090014521011,-0.113090014521011,-0.117266853849265,0.00204487072066756,-0.0854065961813179,-0.00236508245774536,0.071171293804491,-0.000735854688898182,0.115856618248127,0.118080851274264
"OVOL2",-0.263555367586132,-0.251189913238976,-0.251189913238976,-0.220284378413796,-0.190464175279723,-0.176156795908614,0.121877840580754,0.0632530652583225,0.186681481237599,0.255153074260961,0.256910534353347
"ZEB",-0.44824598233019,-0.428835923467693,-0.428835923467693,-0.370902047956809,-0.238478793824725,-0.220710738915283,0.123174509351959,0.198422276429961,0.234995030081437,0.335265778782601,0.440008973062253
"OCT4",-0.536167158105024,-0.418254889704031,-0.418254889704031,-0.359023879087519,-0.333377520250958,-0.216966631264678,0.113328065600347,0.0737316476237788,0.328424140297578,0.43100807199528,0.521485849916913
