"","OVOL2","ZEB","OCT4","GRHL2","Ecad","miR34","KEAP1","miR200","miR145","SNAIL","NRF2"
"SNAIL",0.132972754955283,-0.0926081850928327,0.0968610056283124,0.0982142766709194,0.0982142766709194,-0.0174437400055362,-0.0881141939896005,0.0901257799951655,-0.104921813933837,-0.0604104155896024,0.000503904777082863
"KEAP1",0.134222680852275,-0.0908010922033059,0.0935367698525593,0.100740132754591,0.100740132754591,-0.014161328545565,-0.0874288725841383,0.0907763501890416,-0.107647199300412,0.0439016131901682,-0.0968612576459458
"OVOL2",0.257602684234513,-0.0902265807666004,0.0951057046967109,0.0953067946703437,0.0953067946703437,0.0964638451077117,0.168369412955994,-0.166581519699057,-0.1024744886319,-0.0491249039326841,-0.117298115802041
"ZEB",-0.142694846882861,-0.0698357609952818,-0.0374119842926829,-0.0229620180084733,-0.0229620180084733,-0.0224352306632363,-0.00669665017880807,0.00924075654546622,0.0269465047550384,0.0457680960722041,0.059736754828004
"Ecad",0.158866593841083,-0.0337529080180875,0.0341961993508349,0.043411407686993,0.043411407686993,0.0455518296395924,-0.0566591162206841,0.0600755520470922,-0.0479649068338281,0.0655206689637352,-0.138752649552082
"miR145",0.168385152470877,-0.0290588932709336,-0.191377407968632,0.0403253678327929,0.0403253678327929,0.0421321927464572,0.00226583980826606,0.00174751021259335,0.0754232609693066,-0.0276710401668489,-0.0503849741768133
"GRHL2",0.147375664243862,-0.0229620180084733,0.0237169793307246,0.0325595768777231,0.0325595768777231,0.0348610466869752,0.0101280227278277,-0.00669665017880807,-0.0374119842926829,-0.0277027250474691,-0.0499685429074742
"miR200",0.141408887292336,-0.0191790847967402,0.0197181825011634,0.0289866008370701,0.0289866008370701,0.0347958021772859,-0.0816309987424076,-0.0148177425230275,-0.0337290436338244,-0.0276584500543815,0.0484163195054218
"OCT4",-0.149267099638429,0.0355112074315453,0.132764764826827,-0.0216532296875697,-0.0216532296875697,-0.0209688999464336,0.0960012423557874,-0.0906982120527571,-0.153318596290184,0.0541408827498518,-0.034439509024673
"NRF2",-0.129365120589309,0.0982142766709194,-0.107647199300412,-0.0908010922033059,-0.0908010922033059,0.0269993102360057,0.0907763501890416,-0.0881141939896005,0.0968610056283124,-0.0255356442502627,0.00706311252865178
"miR34",-0.129365120589309,0.0982142766709194,-0.107647199300412,-0.0908010922033059,-0.0908010922033059,0.0269993102360057,0.0907763501890416,-0.0881141939896005,0.0968610056283124,-0.0255356442502627,0.00706311252865178
