"","SNAIL","ZEB","OVOL2","miR145","GRHL2","Ecad","miR200","miR34","KEAP1","OCT4","NRF2"
"ZEB",-0.0802409774921022,-0.0654410710618461,-0.0293874028821615,-0.0272418311480247,-0.023427253046997,-0.023427253046997,-0.0216081808914029,-0.0114988173772484,0.0351980556037527,0.0421746646375593,0.0488776192716843
"miR34",0.0315668773678956,-0.0420733765005649,0.0319145675976221,0.027363085644915,0.027435826217337,0.027435826217337,-0.0483272693728119,-0.0482923942101847,0.0305158265135679,-0.0469699888088651,-0.0482476210919291
"OVOL2",0.0756225173387288,-0.0337905863013831,-0.0439579786431413,0.0516552362518438,0.0507602832710801,0.0507602832710801,-0.049828129819908,0.0417813697616405,0.0704393028264336,-0.0290662506446733,-0.0342871190913948
"SNAIL",-0.0717833122654799,-0.0303808172201071,0.0484462547471945,0.0429433600238546,0.0420733765005649,0.0420733765005649,-0.0341366932655273,-0.0373500446097093,0.0483272693728119,-0.027363085644915,-0.0284308582822921
"KEAP1",0.0273129948560793,-0.027435826217337,0.0526596369913401,0.0469699888088651,0.045856181372386,0.045856181372386,-0.0305158265135679,-0.0345176443698611,0.0528166280222902,-0.0225834857413805,-0.123424926056468
"GRHL2",0.077075488681737,-0.023427253046997,0.0451802113725781,0.0421746646375593,0.0374464827090386,0.0374464827090386,0.0351980556037527,0.0220051230152306,-0.0182658660612691,-0.0236500202445722,-0.0300507507759416
"Ecad",0.0948921159296658,-0.0228096257774295,0.0454166796106124,0.0416388940493054,0.0376142800201691,0.0376142800201691,0.0406513584687102,0.0313430350522186,-0.0227633369795807,-0.0220742681989653,-0.129613007744112
"miR200",0.00523161079970477,-0.0223301257561452,0.0454082830996258,0.0415193849520609,0.0369146946891262,0.0369146946891262,0.0368649299809517,0.0250854769999642,-0.119223501819757,-0.0222331165269251,0.0713859681613776
"OCT4",0.0231956507655959,-0.00180295410957385,0.00166337598423616,-0.137008011798253,0.00278766310004699,0.00278766310004699,-0.139374823417939,-0.00181438323089967,0.140598599641715,0.138368718410809,-0.123499527239609
"miR145",-0.0798032962513569,0.00981355012269843,-0.0328870638250684,0.0919334035740314,-0.0210894724619681,-0.0210894724619681,0.087503066559277,-0.0109136921871709,-0.101061681494613,-0.20672773937983,0.0934611950131672
"NRF2",-0.0315668773678956,0.0420733765005649,-0.0319145675976221,-0.027363085644915,-0.027435826217337,-0.027435826217337,0.0483272693728119,0.0482923942101847,-0.0305158265135679,0.0469699888088651,0.0482476210919291
