"","ZEB","OVOL2","OCT4","miR34","GRHL2","Ecad","miR200","miR145","KEAP1","SNAIL","NRF2"
"ZEB",-0.0717838307010401,-0.0174908789606026,-0.0110112665631748,-0.00739015560182655,-0.00536019592244048,-0.00536019592244048,-0.00348375472707571,0.0103362290111249,0.0289248183936571,0.0445774661208626,0.0528900633178728
"OVOL2",-0.0247545638321097,-0.0385552094602838,0.0163114376513356,0.0469594982802975,0.0547129714375762,0.0547129714375762,-0.0466179688229669,0.0440370258612813,0.0797709212342354,-0.0299748891158488,-0.027021324602148
"SNAIL",-0.0233793659665051,0.0523175944496268,0.0163900230598247,0.0757156420756969,0.044776545034371,0.044776545034371,-0.0318597228359494,0.0361823849433991,0.055528928692812,-0.0730095122222676,-0.0228541705161352
"KEAP1",-0.0199756255696308,0.0567508614691279,0.0125505204452573,0.0783385962696308,0.0489446157631108,0.0489446157631108,-0.0280690081162567,0.0395443854759321,0.0598936191487885,0.0305062811691181,-0.117771671942961
"miR200",-0.0054459208761141,0.0467056515550051,-0.0136795975868049,0.0109244324911343,0.0325608181640852,0.0325608181640852,0.0316473607890533,0.0112234280144364,-0.101791899891188,-0.0145508013548034,0.0800515098109633
"GRHL2",-0.00536019592244048,0.0461935559762845,-0.0134346480911421,0.0230986125751203,0.0320341552753105,0.0320341552753105,0.0289248183936571,0.0110112665631748,0.000405246965819978,-0.0192388324341724,-0.0208891172440791
"Ecad",0.00772389600733545,-0.03689659468891,0.0061134074931557,-0.025983791464799,-0.0244678180582294,-0.0244678180582294,-0.0815655078008426,-0.00920632039800076,0.0631234696912144,0.0606018266858313,-0.0905565775540691
"OCT4",0.0111081654739991,-0.00498524585660537,-0.0376560544021298,0.0108163057801746,0.0135736054010309,0.0135736054010309,-0.0311011056240784,-0.014237577438654,0.0589857210086938,0.0342849280159253,-0.019732652757079
"miR145",0.0197611741563957,0.0206357475848199,-0.0198638944395772,-0.00173126589582243,-0.00311891424803911,-0.00311891424803911,-0.0858412127626702,-0.104691945687049,0.104072334998799,-0.0067977071662475,-0.0703706468916991
"NRF2",0.044776545034371,-0.0255236883500629,-0.0395443854759321,-0.0611148364229201,-0.0199756255696308,-0.0199756255696308,0.055528928692812,-0.0163900230598247,-0.0280690081162567,-0.00315989359315592,0.0528507772348321
"miR34",0.044776545034371,-0.0255236883500629,-0.0395443854759321,-0.0611148364229201,-0.0199756255696308,-0.0199756255696308,0.055528928692812,-0.0163900230598247,-0.0280690081162567,-0.00315989359315592,0.0528507772348321
