"","ZEB","miR200","OVOL2","miR145","miR34","GRHL2","Ecad","OCT4","NRF2","KEAP1","SNAIL"
"ZEB",-0.0865379460822409,-0.0293139878875378,-0.0257772717041899,-0.0197055484527733,-0.0139989607715524,-0.0130936675213611,-0.0130936675213611,0.0207781299377259,0.024231122611892,0.0320115077034416,0.0384328291820074
"NRF2",-0.0845811663023573,0.111740163851997,0.0685538714669366,0.0888756271489724,0.123368943635438,0.0827668653418451,0.0827668653418451,-0.0924230864011296,0.0110259533764506,-0.116785023390164,-0.0767986884834908
"miR34",-0.0845811663023573,0.111740163851997,0.0685538714669366,0.0888756271489724,0.123368943635438,0.0827668653418451,0.0827668653418451,-0.0924230864011296,0.0110259533764506,-0.116785023390164,-0.0767986884834908
"OVOL2",-0.0336645293717231,-0.056624815166383,-0.0568226561619394,0.0356955286703274,0.0356595397414049,0.0350608454739215,0.0350608454739215,-0.0323257105198491,-0.0381314810055544,0.0635058168110326,-0.0386120912358934
"miR200",-0.0209316358824286,0.0386526899608468,0.0309303216659146,0.0286326330733264,0.0288054732510409,0.0213575807791774,0.0213575807791774,-0.0272517176350022,0.0772858838122404,-0.13500570996659,-0.0374125825689317
"Ecad",-0.00103718441979373,0.0247748410013715,0.0179034586504975,0.00819183331279637,0.00798651200053945,0.00115070253539301,0.00115070253539301,-0.00753877208830658,-0.118670166593343,-0.0223489197388852,0.0687128325999938
"OCT4",0.00317238727498635,-0.143340044546155,-0.00184142391593684,-0.14356907126976,-0.00763880129494442,-0.00345258902024293,-0.00345258902024293,0.143020014215571,-0.122604074350058,0.142873844079954,0.0275012888440102
"miR145",0.00567766567021212,0.0894918673362074,-0.0196751721748482,0.103101090585963,-0.00629720746690531,-0.00640986841951534,-0.00640986841951534,-0.20486777972959,0.0858745393557381,-0.0932715919920272,0.0172445585906326
"GRHL2",0.0130936675213611,-0.0320115077034416,-0.0270840988861953,-0.0207781299377259,-0.0166974029080509,-0.0138824291080961,-0.0138824291080961,0.0187271871656452,0.020541434816244,0.0274567691413501,0.0317484946708177
"KEAP1",0.0827668653418451,-0.116785023390164,-0.0726444485304866,-0.0924230864011296,-0.127563110124686,-0.0857618295612991,-0.0857618295612991,0.0865948655422339,-0.117736264342081,0.109382854601857,0.0691687087400742
"SNAIL",0.0835233167520712,-0.11514754422877,-0.0710741183945007,-0.0910780743124874,-0.126320802580165,-0.0845811663023573,-0.0845811663023573,0.0888756271489724,-0.0156068831355276,0.111740163851997,-0.0289535239058897
