"","OVOL2","ZEB","miR145","miR34","GRHL2","Ecad","miR200","KEAP1","OCT4","NRF2","SNAIL"
"ZEB",-0.130257120501682,-0.0711085403849155,-0.00561523911807809,-0.00367861407971157,-0.00257229818353851,-0.00257229818353851,0.000271086264716597,0.0292290415798244,0.0365743144070503,0.0544949219286967,0.0566868858362765
"SNAIL",0.0850863470110808,-0.0220157277233872,0.0581710190977792,-0.0385797647363304,0.0573540351641067,0.0573540351641067,-0.0430010172543506,0.0823797519165775,-0.0169919312223621,-0.024464885910594,-0.0215666811142435
"KEAP1",0.0878590840375936,-0.0173983664997934,0.0638279810785461,-0.0325901465802944,0.0627999037380654,0.0627999037380654,-0.0376820022475085,0.0880827566086589,-0.011220619115356,-0.118255717979083,0.0854151960868709
"miR145",0.166524889151713,-0.00734839757495897,0.0453313337100936,0.0428668801595567,0.0393244002203366,0.0393244002203366,0.0353484804970242,-0.000162831769448035,-0.108662419347315,-0.019050258662243,-0.0163985003314121
"Ecad",0.150059402610288,-0.00374982734919057,0.0397448532276345,0.0422879136973534,0.0364808840136499,0.0364808840136499,0.0341524280865369,0.00208529540880427,-0.00197614574464132,-0.119796702635163,0.0836601466013124
"GRHL2",0.145527198119296,-0.00257229818353851,0.0365743144070503,0.0367832134862398,0.0325509958633128,0.0325509958633128,0.0292290415798244,0.00394089306069843,-0.00200600478085115,-0.0193009768009768,-0.0162716914899867
"miR200",0.143065161199561,-0.0018106147829122,0.0370553567892661,0.0408508090694388,0.0331310439628335,0.0331310439628335,0.0334693631971094,-0.09877040655884,-0.000887785028210991,0.0828498572765478,-0.0171760230989363
"OCT4",-0.13770082545516,0.0368091382677043,-0.105591123151827,-0.00285309933461893,-0.00141565495972252,-0.00141565495972252,-0.0996007520700116,0.139897954867214,0.148107236782765,-0.039469464315284,0.0653543366222797
"NRF2",-0.0647034960171407,0.0573540351641067,-0.0169919312223621,0.0826859524138051,-0.0173983664997934,-0.0173983664997934,0.0823797519165775,-0.0376820022475085,0.0638279810785461,0.0716654288356025,-0.024240314250274
"miR34",-0.0647034960171407,0.0573540351641067,-0.0169919312223621,0.0826859524138051,-0.0173983664997934,-0.0173983664997934,0.0823797519165775,-0.0376820022475085,0.0638279810785461,0.0716654288356025,-0.024240314250274
"OVOL2",0.0259751765171061,0.172347194982971,-0.193183852983684,-0.188499341452215,-0.179322833723315,-0.179322833723315,-0.248262031432676,0.240564010317497,0.185108355267576,-0.0117733252529395,0.116133425674589
