"","NRF2","miR200","ZEB","miR34","OVOL2","miR145","GRHL2","Ecad","OCT4","SNAIL","KEAP1"
"OVOL2",0.111300344615029,0.143545920937003,-0.0912435182475125,0.108618863018899,-0.0267395568273523,0.105511332852516,0.0983795847953437,-0.0983795847953437,-0.0959534598886274,-0.113638730381306,-0.139710173682507
"ZEB",-0.157026451549226,-0.138428273863338,-0.0605664520303056,-0.0387003571951879,-0.0309290547702502,-0.0306427336242077,-0.0269457830251304,0.0269457830251304,0.0469813777979034,0.11085606792195,0.144999483272696
"SNAIL",-0.00912010750913545,-0.0311904700855781,-0.0331246191696367,-0.042080800795898,0.0583966760740553,0.0552674441466584,0.0542662790224576,-0.0542662790224576,-0.027762809367274,-0.0476626424326249,0.0427445457139136
"miR145",0.205409514066741,0.168669769531077,-0.0327136543775843,0.0617432030487264,0.0516974206346727,0.0567872606271256,0.0500644975917181,-0.0500644975917181,-0.133901218819978,-0.111192093297401,-0.158999348171044
"KEAP1",-0.11229079844452,-0.0284336176362551,-0.0282339335664195,-0.0359497645211931,0.0649787524417921,0.0615595495398531,0.0602774003037638,-0.0602774003037638,-0.0203018808281966,0.0576675791434961,0.0464911376739732
"GRHL2",0.148180661577608,0.144999483272696,-0.0269457830251304,0.0539173453257517,0.048210854231679,0.0469813777979034,0.0423698143452985,-0.0423698143452985,-0.0267035081320086,-0.0989302728689466,-0.136584450592958
"Ecad",0.0363365054422452,0.115023831809323,-0.0256535974808446,0.0545729717244313,0.0499874145820874,0.0479431111862934,0.0440435322079282,-0.0440435322079282,-0.0239431111862934,0.0245837361652655,-0.104892043007174
"miR200",0.248037807710011,0.145748723904562,-0.0246045768820045,0.0549610662089624,0.0485771312029499,0.0460555193736541,0.0415399303084347,-0.0415399303084347,-0.0239143246490613,-0.083892692450425,-0.23645418958849
"OCT4",-0.292060468620633,-0.248435517216985,0.046487344175404,-0.0373943209241506,-0.0266744572962548,-0.129829304945488,-0.0252480518849548,0.0252480518849548,0.157449261975805,0.112689388444804,0.259274678056146
"NRF2",-0.00489414427233723,0.0427445457139136,0.0542662790224576,0.068119234395581,-0.0294053411927052,-0.027762809367274,-0.0282339335664195,0.0282339335664195,0.0615595495398531,-0.031604108515542,-0.0284336176362551
"miR34",-0.00489414427233723,0.0427445457139136,0.0542662790224576,0.068119234395581,-0.0294053411927052,-0.027762809367274,-0.0282339335664195,0.0282339335664195,0.0615595495398531,-0.031604108515542,-0.0284336176362551
